
,,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts
501,Eli Manning,32-360,2013-12-29,NFL,NYG,,WAS,W 20-6,16,17,Sun,10,24,41.67,152,1,1,59.7,6.33,5.29,0,0,,0,,,,,,,,,0
502,EJ Manuel,23-194,2013-09-29,NFL,BUF,,BAL,W 23-20,4,4,Sun,10,22,45.45,167,1,2,48.9,7.59,4.41,11,1,0.09,0,,,,,,,,,0
503,Terrelle Pryor,24-129,2013-10-27,NFL,OAK,,PIT,W 21-18,7,8,Sun,10,19,52.63,88,0,2,25.7,4.63,-0.11,9,106,11.78,1,,,,,,,,,6
504,Tony Romo,33-203,2013-11-10,NFL,DAL,@,NOR,L 17-49,10,10,Sun,10,24,41.67,128,1,0,72.9,5.33,6.17,0,0,,0,,,,,,,,,0
505,Matthew Stafford,25-304,2013-12-08,NFL,DET,@,PHI,L 20-34,13,14,Sun,10,25,40.00,151,0,0,60.6,6.04,6.04,6,-1,-0.17,0,,,,,,,,,0
506,Ryan Tannehill,25-148,2013-12-22,NFL,MIA,@,BUF,L 0-19,15,16,Sun,10,27,37.04,82,0,0,45.6,3.04,3.04,0,0,,0,,,,,,,,,0
507,Russell Wilson,24-333,2013-10-28,NFL,SEA,@,STL,W 14-9,8,8,Mon,10,18,55.56,139,2,0,117.6,7.72,9.94,3,16,5.33,0,,,,,,,,,0
508,Kellen Clemens,30-157,2013-11-10,NFL,STL,@,IND,W 38-8,10,10,Sun,9,16,56.25,247,2,0,140.6,15.44,17.94,3,2,0.67,0,,,,,,,,,0
509,Josh Freeman,25-245,2013-09-15,NFL,TAM,,NOR,L 14-16,2,2,Sun,9,22,40.91,125,1,1,56.1,5.68,4.55,3,16,5.33,0,,,,,,,,,0
510,Blaine Gabbert,23-356,2013-10-06,NFL,JAX,@,STL,L 20-34,5,5,Sun,9,19,47.37,181,1,2,59.2,9.53,5.84,3,6,2.00,0,,,,,,,,,0
511,Mike Glennon,23-361,2013-12-08,NFL,TAM,,BUF,W 27-6,13,14,Sun,9,25,36.00,90,2,2,40.4,3.60,1.60,1,0,0.00,0,,,,,,,,,0
