
,,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
512,Brock Osweiler,23-037,2013-12-29,NFL,DEN,@,OAK,W 34-14,16,17,Sun,9,13,69.23,85,0,0,87.0,6.54,6.54,1,-1,-1.00,0,,,,,,,,,0
513,Matt Simms,25-065,2013-12-01,NFL,NYJ,,MIA,L 3-23,12,13,Sun,9,18,50.00,79,0,1,38.9,4.39,1.89,2,2,1.00,0,,,,,,,,,0
514,Geno Smith,23-045,2013-11-24,NFL,NYJ,@,BAL,L 3-19,11,12,Sun,9,22,40.91,127,0,2,22.3,5.77,1.68,3,6,2.00,0,,,,,,,,,0
515,Geno Smith,23-038,2013-11-17,NFL,NYJ,@,BUF,L 14-37,10,11,Sun,8,23,34.78,103,0,3,10.1,4.48,-1.39,1,0,0.00,0,,,,,,,,,0
516,Geno Smith,23-024,2013-11-03,NFL,NYJ,,NOR,W 26-20,9,9,Sun,8,19,42.11,115,0,0,62.4,6.05,6.05,6,18,3.00,1,,,,,,,,,6
517,Jeff Tuel,22-233,2013-10-03,NFL,BUF,@,CLE,L 24-37,5,5,Thu,8,20,40.00,80,0,1,31.2,4.00,1.75,0,0,,0,,,,,,,,,0
518,Russell Wilson,24-290,2013-09-15,NFL,SEA,,SFO,W 29-3,2,2,Sun,8,19,42.11,142,1,1,63.9,7.47,6.16,10,33,3.30,0,,,,,,,,,0
519,Kirk Cousins,25-111,2013-12-08,NFL,WAS,,KAN,L 10-45,13,14,Sun,7,16,43.75,59,0,0,53.9,3.69,3.69,0,0,,0,,,,,,,,,0
520,Chad Henne,28-096,2013-10-06,NFL,JAX,@,STL,L 20-34,5,5,Sun,7,13,53.85,89,1,0,101.1,6.85,8.38,1,2,2.00,0,,,,,,,,,0
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts
521,Tarvaris Jackson,30-154,2013-09-22,NFL,SEA,,JAX,W 45-17,3,3,Sun,7,8,87.50,129,1,0,158.3,16.13,18.63,3,2,0.67,1,,,,,,,,,6
522,Matt McGloin,23-336,2013-11-03,NFL,OAK,,PHI,L 20-49,8,9,Sun,7,15,46.67,87,0,0,65.1,5.80,5.80,0,0,,0,,,,,,,,,0
523,Scott Tolzien,26-319,2013-11-24,NFL,GNB,,MIN,T 26-26,11,12,Sun,7,17,41.18,98,0,0,60.4,5.76,5.76,2,25,12.50,1,,,,,,,,,6
524,Colin Kaepernick,25-337,2013-10-06,NFL,SFO,,HOU,W 34-3,5,5,Sun,6,15,40.00,113,1,0,89.0,7.53,8.87,1,14,14.00,0,,,,,,,,,0
525,Josh McCown,34-129,2013-11-10,NFL,CHI,,DET,L 19-21,9,10,Sun,6,9,66.67,62,1,0,123.4,6.89,9.11,0,0,,0,,,,,,,,,0
526,Michael Vick,33-102,2013-10-06,NFL,PHI,@,NYG,W 36-21,5,5,Sun,6,14,42.86,105,0,0,69.0,7.50,7.50,7,79,11.29,0,,,,,,,,,0
527,Michael Vick,33-123,2013-10-27,NFL,PHI,,NYG,L 7-15,8,8,Sun,6,9,66.67,30,0,1,31.9,3.33,-1.67,1,1,1.00,0,,,,,,,,,0
528,Matt Cassel,31-184,2013-11-17,NFL,MIN,@,SEA,L 20-41,10,11,Sun,5,13,38.46,78,1,1,52.7,6.00,4.08,0,0,,0,,,,,,,,,0
529,Kirk Cousins,25-069,2013-10-27,NFL,WAS,@,DEN,L 21-45,7,8,Sun,5,9,55.56,48,0,2,31.0,5.33,-4.67,1,1,1.00,0,,,,,,,,,0
530,Dominique Davis,24-123,2013-11-17,NFL,ATL,@,TAM,L 28-41,10,11,Sun,5,7,71.43,34,0,0,81.8,4.86,4.86,0,0,,0,,,,,,,,,0
531,Seneca Wallace,33-096,2013-11-10,NFL,GNB,,PHI,L 13-27,9,10,Sun,5,5,100.00,25,0,0,87.5,5.00,5.00,0,0,,0,,,,,,,,,0
532,Matt Cassel,31-174,2013-11-07,NFL,MIN,,WAS,W 34-27,9,10,Thu,4,6,66.67,47,0,0,90.3,7.83,7.83,1,-1,-1.00,0,,,,,,,,,0
533,Jake Locker,25-148,2013-11-10,NFL,TEN,,JAX,L 27-29,9,10,Sun,4,9,44.44,24,0,1,12.0,2.67,-2.33,3,18,6.00,0,,,,,,,,,0
534,Curtis Painter,28-174,2013-12-15,NFL,NYG,,SEA,L 0-23,14,15,Sun,4,4,100.00,30,0,0,97.9,7.50,7.50,0,0,,0,,,,,,,,,0
535,Matt Simms,25-051,2013-11-17,NFL,NYJ,@,BUF,L 14-37,10,11,Sun,4,6,66.67,60,1,0,138.9,10.00,13.33,0,0,,0,,,,,,,,,0
536,Geno Smith,23-052,2013-12-01,NFL,NYJ,,MIA,L 3-23,12,13,Sun,4,10,40.00,29,0,1,8.3,2.90,-1.60,1,2,2.00,0,,,,,,,,,0
537,Jay Cutler,30-174,2013-10-20,NFL,CHI,@,WAS,L 41-45,7,7,Sun,3,8,37.50,28,0,1,8.3,3.50,-2.13,0,0,,0,,,,,,,,,0
538,Chase Daniel,27-069,2013-12-15,NFL,KAN,@,OAK,W 56-31,14,15,Sun,3,5,60.00,31,0,0,77.9,6.20,6.20,1,-1,-1.00,0,,,,,,,,,0
539,Ryan Fitzpatrick,30-309,2013-09-29,NFL,TEN,,NYJ,W 38-13,4,4,Sun,3,8,37.50,108,1,0,125.0,13.50,16.00,2,-2,-1.00,0,,,,,,,,,0
540,Nick Foles,24-252,2013-09-29,NFL,PHI,@,DEN,L 20-52,4,4,Sun,3,4,75.00,49,1,0,155.2,12.25,17.25,0,0,,0,,,,,,,,,0
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts
541,Matt Hasselbeck,38-095,2013-12-29,NFL,IND,,JAX,W 30-10,16,17,Sun,3,4,75.00,25,0,0,90.6,6.25,6.25,1,-1,-1.00,0,,,,,,,,,0
542,Chad Henne,28-068,2013-09-08,NFL,JAX,,KAN,L 2-28,1,1,Sun,3,6,50.00,36,0,0,68.7,6.00,6.00,0,0,,0,,,,,,,,,0
543,Kyle Orton,31-025,2013-12-09,NFL,DAL,@,CHI,L 28-45,13,14,Mon,3,5,60.00,40,0,0,85.4,8.00,8.00,0,0,,0,,,,,,,,,0
544,Christian Ponder,25-279,2013-12-01,NFL,MIN,,CHI,W 23-20,12,13,Sun,3,8,37.50,40,0,0,54.2,5.00,5.00,0,0,,0,,,,,,,,,0
545,Matt Simms,25-030,2013-10-27,NFL,NYJ,@,CIN,L 9-49,8,8,Sun,3,7,42.86,17,0,0,50.3,2.43,2.43,3,35,11.67,0,,,,,,,,,0
546,T.J. Yates,26-131,2013-10-06,NFL,HOU,@,SFO,L 3-34,5,5,Sun,3,5,60.00,15,0,0,64.6,3.00,3.00,1,0,0.00,0,,,,,,,,,0
547,Matt Barkley,23-056,2013-11-03,NFL,PHI,@,OAK,W 49-20,9,9,Sun,2,3,66.67,13,0,0,75.7,4.33,4.33,2,-2,-1.00,0,,,,,,,,,0
548,Kellen Clemens,30-136,2013-10-20,NFL,STL,@,CAR,L 15-30,7,7,Sun,2,4,50.00,19,0,0,63.5,4.75,4.75,0,0,,0,,,,,,,,,0
549,Matt Hasselbeck,38-046,2013-11-10,NFL,IND,,STL,L 8-38,9,10,Sun,2,5,40.00,68,0,1,47.9,13.60,4.60,1,-1,-1.00,0,,,,,,,,,0
550,Matt Hasselbeck,38-004,2013-09-29,NFL,IND,@,JAX,W 37-3,4,4,Sun,2,3,66.67,37,0,0,109.0,12.33,12.33,0,0,,0,,,,,,,,,0
551,Brian Hoyer,27-355,2013-10-03,NFL,CLE,,BUF,W 37-24,5,5,Thu,2,4,50.00,25,0,0,69.8,6.25,6.25,1,11,11.00,0,,,,,,,,,0
552,Tarvaris Jackson,30-238,2013-12-15,NFL,SEA,@,NYG,W 23-0,14,15,Sun,2,2,100.00,16,0,0,100.0,8.00,8.00,0,0,,0,,,,,,,,,0
553,Josh McCown,34-171,2013-12-22,NFL,CHI,@,PHI,L 11-54,15,16,Sun,2,4,50.00,20,0,0,64.6,5.00,5.00,1,-3,-3.00,0,,,,,,,,,0
554,Matt Moore,29-135,2013-12-22,NFL,MIA,@,BUF,L 0-19,15,16,Sun,2,6,33.33,53,0,2,27.1,8.83,-6.17,0,0,,0,,,,,,,,,0
555,Brock Osweiler,22-311,2013-09-29,NFL,DEN,,PHI,W 52-20,4,4,Sun,2,3,66.67,10,0,0,71.5,3.33,3.33,2,3,1.50,0,,,,,,,,,0
556,Curtis Painter,28-188,2013-12-29,NFL,NYG,,WAS,W 20-6,16,17,Sun,2,8,25.00,11,0,1,0.0,1.38,-4.25,3,-2,-0.67,0,,,,,,,,,0
557,Curtis Painter,28-090,2013-09-22,NFL,NYG,@,CAR,L 0-38,3,3,Sun,2,4,50.00,16,0,1,20.8,4.00,-7.25,0,0,,0,,,,,,,,,0
558,Terrelle Pryor,24-171,2013-12-08,NFL,OAK,@,NYJ,L 27-37,13,14,Sun,2,5,40.00,20,0,0,52.1,4.00,4.00,3,4,1.33,0,,,,,,,,,0
559,Antonio Brown,25-095,2013-10-13,NFL,PIT,@,NYJ,W 19-6,5,6,Sun,1,1,100.00,15,0,0,118.7,15.00,15.00,0,0,,0,,,,,,,,,0
560,Jason Campbell,31-258,2013-09-15,NFL,CLE,@,BAL,L 6-14,2,2,Sun,1,4,25.00,6,0,0,39.6,1.50,1.50,0,0,,0,,,,,,,,,0
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts
561,Josh Cribbs,30-147,2013-11-03,NFL,NYJ,,NOR,W 26-20,9,9,Sun,1,1,100.00,25,0,0,118.7,25.00,25.00,3,12,4.00,0,,,,,,,,,0
562,Josh Cribbs,30-168,2013-11-24,NFL,NYJ,@,BAL,L 3-19,11,12,Sun,1,2,50.00,13,0,0,70.8,6.50,6.50,5,20,4.00,0,,,,,,,,,0
563,Chase Daniel,27-062,2013-12-08,NFL,KAN,@,WAS,W 45-10,13,14,Sun,1,3,33.33,17,0,1,13.9,5.67,-9.33,3,-3,-1.00,0,,,,,,,,,0
564,Matt Flynn,28-095,2013-09-23,NFL,OAK,@,DEN,L 21-37,3,3,Mon,1,2,50.00,19,0,0,83.3,9.50,9.50,0,0,,0,,,,,,,,,0
565,Tarvaris Jackson,30-210,2013-11-17,NFL,SEA,,MIN,W 41-20,11,11,Sun,1,3,33.33,6,0,0,42.4,2.00,2.00,1,-1,-1.00,0,,,,,,,,,0
566,Mike James,23-333,2013-11-03,NFL,TAM,@,SEA,L 24-27,8,9,Sun,1,1,100.00,2,1,0,118.7,2.00,22.00,28,158,5.64,0,,,,,,,,,0
567,Maurice Jones-Drew,28-253,2013-12-01,NFL,JAX,@,CLE,W 32-28,12,13,Sun,1,1,100.00,8,1,0,139.6,8.00,28.00,23,77,3.35,0,,,,,,,,,0
568,Spencer Lanning,25-124,2013-09-22,NFL,CLE,@,MIN,W 31-27,3,3,Sun,1,1,100.00,11,1,0,152.1,11.00,31.00,0,0,,0,1,1,100.0,,,,,,1
569,Mat McBriar,34-167,2013-12-22,NFL,PIT,@,GNB,W 38-31,15,16,Sun,1,1,100.00,30,0,0,118.7,30.00,30.00,0,0,,0,,,,,,,,,0
570,Colt McCoy,26-052,2013-10-27,NFL,SFO,@,JAX,W 42-10,8,8,Sun,1,1,100.00,13,0,0,118.7,13.00,13.00,0,0,,0,,,,,,,,,0
571,Darren McFadden,26-027,2013-09-23,NFL,OAK,@,DEN,L 21-37,3,3,Mon,1,1,100.00,16,1,0,158.3,16.00,36.00,12,9,0.75,1,,,,,,,,,6
572,Patrick Peterson,23-066,2013-09-15,NFL,ARI,,DET,W 25-21,2,2,Sun,1,1,100.00,17,0,0,118.7,17.00,17.00,0,0,,0,,,,,,,,,0
573,Bilal Powell,25-063,2013-12-29,NFL,NYJ,@,MIA,W 20-7,16,17,Sun,1,1,100.00,30,0,0,118.7,30.00,30.00,21,76,3.62,0,,,,,,,,,0
574,Terrelle Pryor,24-178,2013-12-15,NFL,OAK,,KAN,L 31-56,14,15,Sun,1,5,20.00,12,0,1,0.0,2.40,-6.60,3,19,6.33,0,,,,,,,,,0
575,Marcel Reece,28-175,2013-12-15,NFL,OAK,,KAN,L 31-56,14,15,Sun,1,1,100.00,22,0,0,118.7,22.00,22.00,5,18,3.60,0,,,,,,,,,0
576,Aaron Rodgers,29-337,2013-11-04,NFL,GNB,,CHI,L 20-27,8,9,Mon,1,2,50.00,27,0,0,95.8,13.50,13.50,1,9,9.00,0,,,,,,,,,0
577,Ace Sanders,22-024,2013-12-05,NFL,JAX,,HOU,W 27-20,13,14,Thu,1,1,100.00,21,1,0,158.3,21.00,41.00,1,0,0.00,0,,,,,,,,,0
578,Mohamed Sanu,24-087,2013-11-17,NFL,CIN,,CLE,W 41-20,11,11,Sun,1,1,100.00,25,0,0,118.7,25.00,25.00,0,0,,0,,,,,,,,,6
579,Shann Schillinger,27-138,2013-10-07,NFL,ATL,,NYJ,L 28-30,5,5,Mon,1,1,100.00,-8,0,0,79.2,-8.00,-8.00,0,0,,0,,,,,,,,,0
580,Tyrod Taylor,24-141,2013-12-22,NFL,BAL,,NWE,L 7-41,15,16,Sun,1,4,25.00,2,0,1,0.0,0.50,-10.75,3,39,13.00,0,,,,,,,,,0
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts
581,Brandon Weeden,30-020,2013-11-03,NFL,CLE,,BAL,W 24-18,9,9,Sun,1,2,50.00,-2,0,0,56.2,-1.00,-1.00,0,0,,0,,,,,,,,,0
582,Tavon Austin,22-261,2013-12-01,NFL,STL,@,SFO,L 13-23,12,13,Sun,0,1,0.00,0,0,0,39.6,0.00,0.00,1,10,10.00,0,,,,,,,,,0
583,Josh Bush,24-291,2013-12-22,NFL,NYJ,,CLE,W 24-13,15,16,Sun,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,,,,,,,,,0
584,Larry Fitzgerald,30-085,2013-11-24,NFL,ARI,,IND,W 40-11,11,12,Sun,0,1,0.00,0,0,0,39.6,0.00,0.00,1,4,4.00,0,,,,,,,,,12
585,Nick Foles,24-238,2013-09-15,NFL,PHI,,SDG,L 30-33,2,2,Sun,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,,,,,,,,,0
586,Johnny Hekker,23-226,2013-09-22,NFL,STL,@,DAL,L 7-31,3,3,Sun,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,,,,,,,,,0
587,Jeremy Kerley,24-304,2013-09-08,NFL,NYJ,,TAM,W 18-17,1,1,Sun,0,1,0.00,0,0,0,39.6,0.00,0.00,1,-1,-1.00,0,,,,,,,,,0
588,Michael Koenen,31-169,2013-12-29,NFL,TAM,@,NOR,L 17-42,16,17,Sun,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,,,,,,,,,0
589,Michael Koenen,31-127,2013-11-17,NFL,TAM,,ATL,W 41-28,10,11,Sun,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,,,,,,,,,0
590,Luke McCown,32-163,2013-12-22,NFL,NOR,@,CAR,L 13-17,15,16,Sun,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,,,,,,,,,0
591,Bobby Rainey,26-032,2013-11-17,NFL,TAM,,ATL,W 41-28,10,11,Sun,0,1,0.00,0,0,0,39.6,0.00,0.00,30,163,5.43,2,,,,,,,,,18
592,Denard Robinson,23-063,2013-11-24,NFL,JAX,@,HOU,W 13-6,11,12,Sun,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,,,,,,,,,0
593,Brad Smith,30-017,2013-12-29,NFL,PHI,@,DAL,W 24-22,16,17,Sun,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,,,,,,,,,0
594,Tyrod Taylor,24-113,2013-11-24,NFL,BAL,,NYJ,W 19-3,11,12,Sun,0,1,0.00,0,0,0,39.6,0.00,0.00,4,7,1.75,0,,,,,,,,,0
