
,,,,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Total Yds,Total Yds,Total Yds,Total Yds,Total Yds
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Touch,TotOff,YScm,APYd,RtY
4732,Bear Pascoe,26-220,2012-09-30,NFL,NYG,@,PHI,L 17-19,4,4,Sun,0,0,,0,2,1,6,6.00,1,,,,,,,,,6,1,0,6,6,0
4733,Bear Pascoe,26-284,2012-12-03,NFL,NYG,@,WAS,L 16-17,12,13,Mon,0,0,,0,1,1,16,16.00,0,,,,,,,,,0,1,0,16,16,0
4734,Bear Pascoe,26-195,2012-09-05,NFL,NYG,,DAL,L 17-24,1,1,Wed,0,0,,0,1,1,6,6.00,0,,,,,,,,,0,1,0,6,6,0
4735,Niles Paul,23-116,2012-12-03,NFL,WAS,,NYG,W 17-16,12,13,Mon,0,0,,0,1,0,0,,0,,,,,,,,,0,1,0,0,39,39
4736,Niles Paul,23-087,2012-11-04,NFL,WAS,,CAR,L 13-21,9,9,Sun,0,0,,0,2,1,22,22.00,0,,,,,,,,,0,1,0,22,22,0
4737,Niles Paul,23-080,2012-10-28,NFL,WAS,@,PIT,L 12-27,8,8,Sun,0,0,,0,1,1,37,37.00,0,,,,,,,,,0,1,0,37,37,0
4738,Niles Paul,23-105,2012-11-22,NFL,WAS,@,DAL,W 38-31,11,12,Thu,0,0,,0,1,1,29,29.00,1,,,,,,,,,6,1,0,29,29,0
4739,Logan Paulsen,25-301,2012-12-23,NFL,WAS,@,PHI,W 27-20,15,16,Sun,0,0,,0,1,1,6,6.00,0,,,,,,,,,0,1,0,6,6,0
4740,Logan Paulsen,25-281,2012-12-03,NFL,WAS,,NYG,W 17-16,12,13,Mon,0,0,,0,3,1,11,11.00,0,,,,,,,,,0,1,0,11,11,0
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Touch,TotOff,YScm,APYd,RtY
4741,Logan Paulsen,25-308,2012-12-30,NFL,WAS,,DAL,W 28-18,16,17,Sun,0,0,,0,1,1,8,8.00,0,,,,,,,,,0,1,0,8,8,0
4742,Logan Paulsen,25-196,2012-09-09,NFL,WAS,@,NOR,W 40-32,1,1,Sun,0,0,,0,1,1,22,22.00,0,,,,,,,,,0,1,0,22,22,0
4743,Logan Paulsen,25-287,2012-12-09,NFL,WAS,,BAL,W 31-28,13,14,Sun,0,0,,0,1,1,8,8.00,0,,,,,,,,,0,1,0,8,8,0
4744,Logan Paulsen,25-266,2012-11-18,NFL,WAS,,PHI,W 31-6,10,11,Sun,0,0,,0,1,1,17,17.00,1,,,,,,,,,6,1,0,17,17,0
4745,David Paulson,23-270,2012-11-18,NFL,PIT,,BAL,L 10-13,10,11,Sun,0,0,,0,2,1,6,6.00,0,,,,,,,,,0,1,0,6,6,0
4746,David Paulson,23-232,2012-10-11,NFL,PIT,@,TEN,L 23-26,5,6,Thu,0,0,,0,1,1,8,8.00,0,,,,,,,,,0,1,0,8,8,0
4747,David Paulson,23-298,2012-12-16,NFL,PIT,@,DAL,L 24-27,14,15,Sun,0,0,,0,0,0,0,,0,,,,,,,,,0,1,0,0,16,16
4748,David Paulson,23-228,2012-10-07,NFL,PIT,,PHI,W 16-14,4,5,Sun,0,0,,0,1,1,8,8.00,0,,,,,,,,,0,1,0,8,8,0
4749,David Paulson,23-242,2012-10-21,NFL,PIT,@,CIN,W 24-17,6,7,Sun,0,0,,0,1,1,7,7.00,0,,,,,,,,,0,1,0,7,7,0
4750,David Paulson,23-256,2012-11-04,NFL,PIT,@,NYG,W 24-20,8,9,Sun,0,0,,0,2,1,7,7.00,0,,,,,,,,,0,1,0,7,7,0
4751,Isaiah Pead,22-277,2012-09-16,NFL,STL,,WAS,W 31-28,2,2,Sun,0,0,,0,0,0,0,,0,,,,,,,,,0,1,0,0,12,12
4752,Isaiah Pead,23-009,2012-12-23,NFL,STL,@,TAM,W 28-13,15,16,Sun,1,0,0.00,0,0,0,0,,0,,,,,,,,,0,1,0,0,0,0
4753,Isaiah Pead,22-270,2012-09-09,NFL,STL,@,DET,L 23-27,1,1,Sun,0,0,,0,0,0,0,,0,,,,,,,,,0,1,0,0,25,25
4754,Isaiah Pead,22-305,2012-10-14,NFL,STL,@,MIA,L 14-17,6,6,Sun,0,0,,0,1,1,3,3.00,0,,,,,,,,,0,1,0,3,3,0
4755,Cedric Peerman,25-342,2012-09-16,NFL,CIN,,CLE,W 34-27,2,2,Sun,1,1,1.00,0,0,0,0,,0,,,,,,,,,0,1,1,1,1,0
4756,Cedric Peerman,25-356,2012-09-30,NFL,CIN,@,JAX,W 27-10,4,4,Sun,1,48,48.00,0,0,0,0,,0,,,,,,,,,0,1,48,48,48,0
4757,Patrick Peterson,22-130,2012-11-18,NFL,ARI,@,ATL,L 19-23,10,11,Sun,0,0,,0,0,0,0,,0,,,,,,,,,0,1,0,0,7,7
4758,Patrick Peterson,22-144,2012-12-02,NFL,ARI,@,NYJ,L 6-7,12,13,Sun,0,0,,0,0,0,0,,0,,,,,,,,,0,1,0,0,9,9
4759,Brandon Pettigrew,27-255,2012-11-04,NFL,DET,@,JAX,W 31-14,8,9,Sun,0,0,,0,3,1,11,11.00,0,,,,,,,,,0,1,0,11,11,0
4760,Austin Pettis,24-150,2012-10-04,NFL,STL,,ARI,W 17-3,5,5,Thu,0,0,,0,2,1,6,6.00,0,,,,,,,,,0,1,0,6,6,0
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Touch,TotOff,YScm,APYd,RtY
4761,Austin Pettis,24-230,2012-12-23,NFL,STL,@,TAM,W 28-13,15,16,Sun,0,0,,0,1,1,5,5.00,1,,,,,,,,,6,1,0,5,5,0
4762,Austin Pettis,24-160,2012-10-14,NFL,STL,@,MIA,L 14-17,6,6,Sun,0,0,,0,3,1,11,11.00,0,,,,,,,,,0,1,0,11,11,0
4763,John Phillips,25-174,2012-12-02,NFL,DAL,,PHI,W 38-33,12,13,Sun,0,0,,0,1,1,0,0.00,0,,,,,,,,,0,1,0,0,0,0
4764,John Phillips,25-125,2012-10-14,NFL,DAL,@,BAL,L 29-31,5,6,Sun,0,0,,0,2,1,19,19.00,0,,,,,,,,,0,1,0,19,19,0
4765,John Phillips,25-086,2012-09-05,NFL,DAL,@,NYG,W 24-17,1,1,Wed,0,0,,0,1,1,6,6.00,0,,,,,,,,,0,1,0,6,6,0
4766,John Phillips,25-202,2012-12-30,NFL,DAL,@,WAS,L 18-28,16,17,Sun,0,0,,0,0,0,0,,0,,,,,,,,,0,1,0,0,20,20
4767,Kealoha Pilares,24-209,2012-09-16,NFL,CAR,,NOR,W 35-27,2,2,Sun,0,0,,0,1,1,6,6.00,0,,,,,,,,,0,1,0,6,6,0
4768,Kealoha Pilares,24-202,2012-09-09,NFL,CAR,@,TAM,L 10-16,1,1,Sun,1,5,5.00,0,1,0,0,,0,,,,,,,,,0,1,5,5,5,0
4769,Dennis Pitta,27-142,2012-11-18,NFL,BAL,@,PIT,W 13-10,10,11,Sun,0,0,,0,1,1,5,5.00,0,,,,,,,,,0,1,0,5,5,0
4770,Dennis Pitta,27-156,2012-12-02,NFL,BAL,,PIT,L 20-23,12,13,Sun,0,0,,0,3,1,19,19.00,0,,,,,,,,,0,1,0,19,19,0
4771,Lousaka Polite,31-030,2012-10-14,NFL,ATL,,OAK,W 23-20,6,6,Sun,0,0,,0,1,1,8,8.00,0,,,,,,,,,0,1,0,8,8,0
4772,Lousaka Polite,31-003,2012-09-17,NFL,ATL,,DEN,W 27-21,2,2,Mon,0,0,,0,1,0,0,,0,,,,,,,,,0,1,0,0,24,24
4773,Chris Polk,22-317,2012-10-28,NFL,PHI,,ATL,L 17-30,7,8,Sun,0,0,,0,,0,0,,0,,,,,,,,,0,1,0,0,0,0
4774,Christian Ponder,24-239,2012-10-21,NFL,MIN,,ARI,W 21-14,7,7,Sun,1,2,2.00,0,0,0,0,,0,,,,,,,,,0,1,45,2,2,0
4775,Christian Ponder,24-218,2012-09-30,NFL,MIN,@,DET,W 20-13,4,4,Sun,1,5,5.00,0,0,0,0,,0,,,,,,,,,0,1,105,5,5,0
4776,Christian Ponder,24-197,2012-09-09,NFL,MIN,,JAX,W 26-23,1,1,Sun,1,1,1.00,0,0,0,0,,0,,,,,,,,,0,1,267,1,1,0
4777,Leonard Pope,29-048,2012-10-28,NFL,PIT,,WAS,W 27-12,7,8,Sun,0,0,,0,1,1,1,1.00,1,,,,,,,,,6,1,0,1,1,0
4778,Leonard Pope,29-006,2012-09-16,NFL,PIT,,NYJ,W 27-10,2,2,Sun,0,0,,0,1,1,7,7.00,0,,,,,,,,,0,1,0,7,7,0
4779,Leonard Pope,29-111,2012-12-30,NFL,PIT,,CLE,W 24-10,16,17,Sun,0,0,,0,2,1,1,1.00,1,,,,,,,,,6,1,0,1,1,0
4780,Leonard Pope,29-104,2012-12-23,NFL,PIT,,CIN,L 10-13,15,16,Sun,0,0,,0,,0,0,,0,,,,,,,,,0,1,0,0,0,0
