
,,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Total Yds,Total Yds,Total Yds,Total Yds,Total Yds
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Touch,TotOff,YScm,APYd,RtY
3201,Jarius Wright,25-033,2014-12-28,NFL,MIN,,CHI,W 13-9,16,17,Sun,0,0,,0,0,0,,,,0,0,,0,3,3,23,7.67,0,,,,,,,,,0,3,0,23,23,0
3202,Jarius Wright,24-311,2014-10-02,NFL,MIN,@,GNB,L 10-42,5,5,Thu,0,0,,0,0,0,,,,0,0,,0,8,3,27,9.00,0,,,,,,,,,0,3,0,27,27,0
3203,Jarius Wright,25-005,2014-11-30,NFL,MIN,,CAR,W 31-13,12,13,Sun,0,0,,0,0,0,,,,1,5,5.00,0,2,2,40,20.00,0,,,,,,,,,0,3,5,45,45,0
3204,Kendall Wright,24-348,2014-10-26,NFL,TEN,,HOU,L 16-30,8,8,Sun,0,0,,0,0,0,,,,0,0,,0,5,3,53,17.67,0,,,,,,,,,0,3,0,53,53,0
3205,Kendall Wright,24-306,2014-09-14,NFL,TEN,,DAL,L 10-26,2,2,Sun,0,0,,0,0,0,,,,0,0,,0,5,3,31,10.33,0,,,,,,,,,0,3,0,31,31,0
3206,Kendall Wright,25-046,2014-12-28,NFL,TEN,,IND,L 10-27,16,17,Sun,0,0,,0,0,0,,,,1,10,10.00,0,5,2,9,4.50,1,,,,,,,,,6,3,10,19,19,0
3207,Tim Wright,24-153,2014-09-07,NFL,NWE,@,MIA,L 20-33,1,1,Sun,0,0,,0,0,0,,,,0,0,,0,3,3,15,5.00,0,,,,,,,,,0,3,0,15,15,0
3208,Darrel Young,27-256,2014-12-20,NFL,WAS,,PHI,W 27-24,15,16,Sat,0,0,,0,0,0,,,,2,2,1.00,2,1,1,3,3.00,0,,,,,,,,,12,3,2,5,5,0
3209,Darrel Young,27-166,2014-09-21,NFL,WAS,@,PHI,L 34-37,3,3,Sun,0,0,,0,0,0,,,,1,1,1.00,0,2,1,4,4.00,1,,,,,,,,,6,3,1,5,15,10
