
,,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Total Yds,Total Yds,Total Yds,Total Yds,Total Yds
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Touch,TotOff,YScm,APYd,RtY
48,Stevan Ridley,25-251,2014-10-05,NFL,NWE,,CIN,W 43-17,5,5,Sun,0,0,,0,0,0,,,,27,113,4.19,1,0,0,0,,0,,,,,,,,,6,27,113,113,113,0
49,Andre Williams,22-101,2014-12-07,NFL,NYG,@,TEN,W 36-7,13,14,Sun,0,0,,0,0,0,,,,24,131,5.46,1,5,3,16,5.33,0,,,,,,,,,6,27,131,147,147,0
50,C.J. Anderson,23-315,2014-12-22,NFL,DEN,@,CIN,L 28-37,15,16,Mon,0,0,,0,0,0,,,,18,83,4.61,1,10,8,55,6.88,0,,,,,,,,,6,26,83,138,138,0
51,Andre Ellington,25-265,2014-10-26,NFL,ARI,,PHI,W 24-20,7,8,Sun,0,0,,0,0,0,,,,23,71,3.09,1,6,3,14,4.67,0,,,,,,,,,6,26,71,85,85,0
52,Justin Forsett,29-047,2014-11-30,NFL,BAL,,SDG,L 33-34,12,13,Sun,0,0,,0,0,0,,,,24,106,4.42,0,3,2,17,8.50,0,,,,,,,,,0,26,106,123,123,0
53,Arian Foster,28-119,2014-12-21,NFL,HOU,,BAL,W 25-13,15,16,Sun,1,1,100.00,5,1,0,127.1,5.00,25.00,25,96,3.84,0,4,1,23,23.00,0,,,,,,,,,0,26,101,119,119,0
54,Arian Foster,28-105,2014-12-07,NFL,HOU,@,JAX,W 27-13,13,14,Sun,0,0,,0,0,0,,,,24,127,5.29,1,4,2,21,10.50,0,,,,,,,,,6,26,127,148,148,0
55,Frank Gore,31-220,2014-12-20,NFL,SFO,,SDG,L 35-38,15,16,Sat,0,0,,0,0,0,,,,26,158,6.08,1,0,0,0,,0,,,,,,,,,6,26,158,158,158,0
56,Jeremy Hill,22-055,2014-12-14,NFL,CIN,@,CLE,W 30-0,14,15,Sun,0,0,,0,0,0,,,,25,148,5.92,2,1,1,4,4.00,0,,,,,,,,,12,26,148,152,152,0
57,Marshawn Lynch,28-194,2014-11-02,NFL,SEA,,OAK,W 30-24,8,9,Sun,0,0,,0,0,0,,,,21,67,3.19,2,5,5,76,15.20,0,,,,,,,,,12,26,67,143,143,0
