
,,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Total Yds,Total Yds,Total Yds,Total Yds,Total Yds
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Touch,TotOff,YScm,APYd,RtY
5101,Mike Adams,33-244,2014-11-23,NFL,IND,,JAX,W 23-3,11,12,Sun,0,0,,0,0,0,,,,0,0,,0,0,0,0,,0,,,,,,,,,0,0,0,0,0,0
5102,Mike Adams,33-181,2014-09-21,NFL,IND,@,JAX,W 44-17,3,3,Sun,0,0,,0,0,0,,,,0,0,,0,0,0,0,,0,,,,,,,,,0,0,0,0,0,0
5103,Mike Adams,33-265,2014-12-14,NFL,IND,,HOU,W 17-10,14,15,Sun,0,0,,0,0,0,,,,0,0,,0,0,0,0,,0,,,,,,,,,0,0,0,0,0,0
5104,Mike Adams,33-237,2014-11-16,NFL,IND,,NWE,L 20-42,10,11,Sun,0,0,,0,0,0,,,,0,0,,0,0,0,0,,0,,,,,,,,,0,0,0,0,0,0
5105,Mike Adams,33-272,2014-12-21,NFL,IND,@,DAL,L 7-42,15,16,Sun,0,0,,0,0,0,,,,0,0,,0,0,0,0,,0,,,,,,,,,0,0,0,0,0,0
5106,Mike Adams,33-188,2014-09-28,NFL,IND,,TEN,W 41-17,4,4,Sun,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,,,,,,,,,0,0,0,0,0,0
5107,Mike Adams,33-216,2014-10-26,NFL,IND,@,PIT,L 34-51,8,8,Sun,0,0,,0,0,0,,,,0,0,,0,0,0,0,,0,,,,,,,,,0,0,0,0,0,0
5108,Mike Adams,33-258,2014-12-07,NFL,IND,@,CLE,W 25-24,13,14,Sun,0,0,,0,0,0,,,,0,0,,0,0,0,0,,0,,,,,,,,,0,0,0,0,0,0
5109,Mike Adams,33-251,2014-11-30,NFL,IND,,WAS,W 49-27,12,13,Sun,0,0,,0,0,0,,,,0,0,,0,0,0,0,,0,,,,,,,,,0,0,0,0,0,0
