
,,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Total Yds,Total Yds,Total Yds,Total Yds,Total Yds
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Touch,TotOff,YScm,APYd,RtY
4901,Matthew Stafford,26-219,2014-09-14,NFL,DET,@,CAR,L 7-24,2,2,Sun,27,48,56.25,291,1,1,72.5,6.06,5.54,1,8,8.00,0,0,0,0,,0,,,,,,,,,0,1,261,8,8,0
4902,Drew Stanton,30-207,2014-11-30,NFL,ARI,@,ATL,L 18-29,12,13,Sun,24,39,61.54,294,1,2,72.0,7.54,5.74,1,7,7.00,0,0,0,0,,0,,,,,,,,,0,1,301,7,7,0
4903,James Starks,28-271,2014-11-23,NFL,GNB,@,MIN,W 24-21,11,12,Sun,0,0,,0,0,0,,,,1,-4,-4.00,0,1,0,0,,0,,,,,,,,,0,1,-4,-4,-4,0
4904,Jeremy Stewart,25-298,2014-12-14,NFL,DEN,@,SDG,W 22-10,14,15,Sun,0,0,,0,0,0,,,,1,16,16.00,0,0,0,0,,0,,,,,,,,,0,1,16,16,16,0
4905,Jeremy Stewart,25-291,2014-12-07,NFL,DEN,,BUF,W 24-17,13,14,Sun,0,0,,0,0,0,,,,1,1,1.00,0,0,0,0,,0,,,,,,,,,0,1,1,1,1,0
4906,Kenny Stills,22-166,2014-10-05,NFL,NOR,,TAM,W 37-31,5,5,Sun,0,0,,0,0,0,,,,0,0,,0,3,1,16,16.00,0,,,,,,,,,0,1,0,16,16,0
4907,Luke Stocker,26-143,2014-12-07,NFL,TAM,@,DET,L 17-34,13,14,Sun,0,0,,0,0,0,,,,0,0,,0,3,1,4,4.00,0,,,,,,,,,0,1,0,4,4,0
4908,Luke Stocker,26-129,2014-11-23,NFL,TAM,@,CHI,L 13-21,11,12,Sun,0,0,,0,0,0,,,,0,0,,0,2,1,6,6.00,0,,,,,,,,,0,1,0,6,6,0
4909,Luke Stocker,26-052,2014-09-07,NFL,TAM,,CAR,L 14-20,1,1,Sun,0,0,,0,0,0,,,,0,0,,0,1,1,8,8.00,0,,,,,,,,,0,1,0,8,8,0
4910,Rod Streater,26-217,2014-09-14,NFL,OAK,,HOU,L 14-30,2,2,Sun,0,0,,0,0,0,,,,0,0,,0,3,1,6,6.00,0,,,,,,,,,0,1,0,6,6,0
4911,Zach Sudfeld,25-247,2014-12-21,NFL,NYJ,,NWE,L 16-17,15,16,Sun,0,0,,0,0,0,,,,0,0,,0,1,1,6,6.00,0,,,,,,,,,0,1,0,6,6,0
4912,Zach Sudfeld,25-157,2014-09-22,NFL,NYJ,,CHI,L 19-27,3,3,Mon,0,0,,0,0,0,,,,0,0,,0,1,1,15,15.00,0,,,,,,,,,0,1,0,15,15,0
4913,Zach Sudfeld,25-198,2014-11-02,NFL,NYJ,@,KAN,L 10-24,9,9,Sun,0,0,,0,0,0,,,,0,0,,0,0,0,0,,0,,,,,,,,,0,1,0,0,9,9
4914,Zach Sudfeld,25-227,2014-12-01,NFL,NYJ,,MIA,L 13-16,12,13,Mon,0,0,,0,0,0,,,,0,0,,0,1,1,20,20.00,0,,,,,,,,,0,1,0,20,20,0
4915,Frank Summers,29-022,2014-09-28,NFL,BUF,@,HOU,L 17-23,4,4,Sun,0,0,,0,0,0,,,,0,0,,0,1,1,3,3.00,0,,,,,,,,,0,1,0,3,3,0
4916,Frank Summers,29-029,2014-10-05,NFL,BUF,@,DET,W 17-14,5,5,Sun,0,0,,0,0,0,,,,0,0,,0,2,1,1,1.00,0,,,,,,,,,0,1,0,1,1,0
4917,Frank Summers,29-015,2014-09-21,NFL,BUF,,SDG,L 10-22,3,3,Sun,0,0,,0,0,0,,,,1,4,4.00,0,0,0,0,,0,,,,,,,,,0,1,4,4,4,0
4918,Frank Summers,29-050,2014-10-26,NFL,BUF,@,NYJ,W 43-23,8,8,Sun,0,0,,0,0,0,,,,1,2,2.00,1,0,0,0,,0,,,,,,,,,6,1,2,2,2,0
4919,Phillip Supernaw,24-290,2014-11-16,NFL,KAN,,SEA,W 24-20,10,11,Sun,0,0,,0,0,0,,,,0,0,,0,1,1,3,3.00,0,,,,,,,,,0,1,0,3,3,0
4920,Phillip Supernaw,24-276,2014-11-02,NFL,BAL,@,PIT,L 23-43,9,9,Sun,0,0,,0,0,0,,,,0,0,,0,1,1,-2,-2.00,0,,,,,,,,,0,1,0,-2,-2,0
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Touch,TotOff,YScm,APYd,RtY
4921,Phillip Supernaw,24-311,2014-12-07,NFL,BAL,@,MIA,W 28-13,13,14,Sun,0,0,,0,0,0,,,,0,0,,0,1,1,29,29.00,0,,,,,,,,,0,1,0,29,29,0
4922,Will Ta'ufo'ou,28-108,2014-10-05,NFL,JAX,,PIT,L 9-17,5,5,Sun,0,0,,0,0,0,,,,0,0,,0,1,1,12,12.00,0,,,,,,,,,0,1,0,12,12,0
4923,Will Ta'ufo'ou,28-171,2014-12-07,NFL,JAX,,HOU,L 13-27,13,14,Sun,0,0,,0,0,0,,,,0,0,,0,1,1,0,0.00,0,,,,,,,,,0,1,0,0,0,0
4924,Will Ta'ufo'ou,28-094,2014-09-21,NFL,JAX,,IND,L 17-44,3,3,Sun,0,0,,0,0,0,,,,0,0,,0,1,1,26,26.00,0,,,,,,,,,0,1,0,26,26,0
4925,Will Ta'ufo'ou,28-101,2014-09-28,NFL,JAX,@,SDG,L 14-33,4,4,Sun,0,0,,0,0,0,,,,0,0,,0,1,1,4,4.00,0,,,,,,,,,0,1,0,4,4,0
4926,Will Ta'ufo'ou,28-178,2014-12-14,NFL,JAX,@,BAL,L 12-20,14,15,Sun,0,0,,0,0,0,,,,0,0,,0,1,1,19,19.00,0,,,,,,,,,0,1,0,19,19,0
4927,Lorenzo Taliaferro,22-342,2014-11-30,NFL,BAL,,SDG,L 33-34,12,13,Sun,0,0,,0,0,0,,,,0,0,,0,0,0,0,,0,,,,,,,,,0,1,0,0,15,15
4928,Jacob Tamme,29-204,2014-10-05,NFL,DEN,,ARI,W 41-20,4,5,Sun,0,0,,0,0,0,,,,0,0,,0,1,1,17,17.00,0,,,,,,,,,0,1,0,17,17,0
4929,Jacob Tamme,29-222,2014-10-23,NFL,DEN,,SDG,W 35-21,7,8,Thu,0,0,,0,0,0,,,,0,0,,0,1,1,4,4.00,0,,,,,,,,,0,1,0,4,4,0
4930,Jacob Tamme,29-253,2014-11-23,NFL,DEN,,MIA,W 39-36,11,12,Sun,0,0,,0,0,0,,,,0,0,,0,1,1,-1,-1.00,0,,,,,,,,,0,1,0,-1,-1,0
4931,Jacob Tamme,29-260,2014-11-30,NFL,DEN,@,KAN,W 29-16,12,13,Sun,0,0,,0,0,0,,,,0,0,,0,2,1,4,4.00,0,,,,,,,,,0,1,0,4,4,0
4932,Jacob Tamme,29-282,2014-12-22,NFL,DEN,@,CIN,L 28-37,15,16,Mon,0,0,,0,0,0,,,,0,0,,0,2,1,8,8.00,0,,,,,,,,,0,1,0,8,8,0
4933,Jacob Tamme,29-183,2014-09-14,NFL,DEN,,KAN,W 24-17,2,2,Sun,0,0,,0,0,0,,,,0,0,,0,1,1,4,4.00,1,,,,,,,,,6,1,0,4,4,0
4934,Jacob Tamme,29-267,2014-12-07,NFL,DEN,,BUF,W 24-17,13,14,Sun,0,0,,0,0,0,,,,0,0,,0,1,1,10,10.00,0,,,,,,,,,0,1,0,10,10,0
4935,Jacob Tamme,29-232,2014-11-02,NFL,DEN,@,NWE,L 21-43,8,9,Sun,0,0,,0,0,0,,,,0,0,,0,5,1,10,10.00,0,,,,,,,,,0,1,0,10,10,0
4936,Ryan Tannehill,26-056,2014-09-21,NFL,MIA,,KAN,L 15-34,3,3,Sun,21,43,48.84,205,1,0,70.4,4.77,5.23,1,9,9.00,0,0,0,0,,0,,,,,,,,,0,1,200,9,9,0
4937,Brandon Tate,27-056,2014-11-30,NFL,CIN,@,TAM,W 14-13,12,13,Sun,0,0,,0,0,0,,,,0,0,,0,0,0,0,,0,,,,,,,,,0,1,0,0,-1,-1
4938,Brandon Tate,27-049,2014-11-23,NFL,CIN,@,HOU,W 22-13,11,12,Sun,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,,,,,,,,,0,1,0,0,25,25
4939,Stepfan Taylor,23-174,2014-11-30,NFL,ARI,@,ATL,L 18-29,12,13,Sun,0,0,,0,0,0,,,,0,0,,0,2,1,3,3.00,1,,,,,,,1,,8,1,0,3,3,0
4940,Stepfan Taylor,23-118,2014-10-05,NFL,ARI,@,DEN,L 20-41,4,5,Sun,0,0,,0,0,0,,,,1,6,6.00,0,0,0,0,,0,,,,,,,,,0,1,6,6,6,0
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Touch,TotOff,YScm,APYd,RtY
4941,Stepfan Taylor,23-104,2014-09-21,NFL,ARI,,SFO,W 23-14,3,3,Sun,0,0,,0,0,0,,,,1,2,2.00,0,0,0,0,,0,,,,,,,,,0,1,2,2,2,0
4942,Adam Thielen,24-093,2014-11-23,NFL,MIN,,GNB,L 21-24,11,12,Sun,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,,,,,,,,,0,1,0,0,21,21
4943,Adam Thielen,24-121,2014-12-21,NFL,MIN,@,MIA,L 35-37,15,16,Sun,0,0,,0,0,0,,,,0,0,,0,1,1,12,12.00,0,,,,,,,,,0,1,0,12,12,0
4944,Adam Thielen,24-023,2014-09-14,NFL,MIN,,NWE,L 7-30,2,2,Sun,0,0,,0,0,0,,,,0,0,,0,2,0,0,,0,,,,,,,,,0,1,0,0,12,12
4945,Marcus Thigpen,28-185,2014-11-16,NFL,TAM,@,WAS,W 27-7,10,11,Sun,0,0,,0,0,0,,,,0,0,,0,0,0,0,,0,,,,,,,,,0,1,0,0,0,0
4946,Marcus Thigpen,28-171,2014-11-02,NFL,TAM,@,CLE,L 17-22,8,9,Sun,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,,,,,,,,,0,1,0,0,28,28
4947,Marcus Thigpen,28-206,2014-12-07,NFL,BUF,@,DEN,L 17-24,13,14,Sun,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,,,,,,,,,0,1,0,0,27,27
4948,Chase Thomas,25-193,2014-12-20,NFL,SFO,,SDG,L 35-38,15,16,Sat,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,,,,,,,,,0,1,0,0,8,8
4949,Julius Thomas,26-170,2014-12-14,NFL,DEN,@,SDG,W 22-10,14,15,Sun,0,0,,0,0,0,,,,0,0,,0,2,1,30,30.00,0,,,,,,,,,0,1,0,30,30,0
4950,Kenbrell Thompkins,26-096,2014-11-02,NFL,OAK,@,SEA,L 24-30,8,9,Sun,0,0,,0,0,0,,,,0,0,,0,2,1,8,8.00,0,,,,,,,,,0,1,0,8,8,0
4951,Kenbrell Thompkins,26-103,2014-11-09,NFL,OAK,,DEN,L 17-41,9,10,Sun,0,0,,0,0,0,,,,1,-2,-2.00,0,0,0,0,,0,,,,,,,,,0,1,-2,-2,-2,0
4952,Kenbrell Thompkins,26-054,2014-09-21,NFL,NWE,,OAK,W 16-9,3,3,Sun,0,0,,0,0,0,,,,0,0,,0,1,1,16,16.00,0,,,,,,,,,0,1,0,16,16,0
4953,Juwan Thompson,22-187,2014-11-16,NFL,DEN,@,STL,L 7-22,10,11,Sun,0,0,,0,0,0,,,,0,0,,0,1,1,5,5.00,0,,,,,,,,,0,1,0,5,5,0
4954,Juwan Thompson,22-223,2014-12-22,NFL,DEN,@,CIN,L 28-37,15,16,Mon,0,0,,0,0,0,,,,1,2,2.00,0,1,0,0,,0,,,,,,,,,0,1,2,2,2,0
4955,Jordan Todman,24-237,2014-10-19,NFL,JAX,,CLE,W 24-6,7,7,Sun,0,0,,0,0,0,,,,0,0,,0,1,1,26,26.00,0,,,,,,,,,0,1,0,26,26,0
4956,Levine Toilolo,23-131,2014-12-08,NFL,ATL,@,GNB,L 37-43,13,14,Mon,0,0,,0,0,0,,,,0,0,,0,3,1,-1,-1.00,0,,,,,,,,,0,1,0,-1,-1,0
4957,Levine Toilolo,23-137,2014-12-14,NFL,ATL,,PIT,L 20-27,14,15,Sun,0,0,,0,0,0,,,,0,0,,0,2,1,4,4.00,0,,,,,,,,,0,1,0,4,4,0
4958,Levine Toilolo,23-060,2014-09-28,NFL,ATL,@,MIN,L 28-41,4,4,Sun,0,0,,0,0,0,,,,0,0,,0,2,1,12,12.00,0,,,,,,,,,0,1,0,12,12,0
4959,Nick Toon,26-054,2014-12-28,NFL,NOR,@,TAM,W 23-20,16,17,Sun,0,0,,0,0,0,,,,0,0,,0,2,1,24,24.00,0,,,,,,,,,0,1,0,24,24,0
4960,Justin Trattou,26-115,2014-12-21,NFL,MIN,@,MIA,L 35-37,15,16,Sun,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,,,,,,,,,0,1,0,0,13,13
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Touch,TotOff,YScm,APYd,RtY
4961,Justin Trattou,26-101,2014-12-07,NFL,MIN,,NYJ,W 30-24,13,14,Sun,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,,,,,,,,,0,1,0,0,6,6
4962,Will Tukuafu,30-359,2014-12-28,NFL,SEA,,STL,W 20-6,16,17,Sun,0,0,,0,0,0,,,,1,2,2.00,0,0,0,0,,0,,,,,,,,,0,1,2,2,2,0
4963,Will Tukuafu,30-338,2014-12-07,NFL,SEA,@,PHI,W 24-14,13,14,Sun,0,0,,0,0,0,,,,0,0,,0,1,1,4,4.00,0,,,,,,,,,0,1,0,4,4,0
4964,Brian Tyms,25-233,2014-10-12,NFL,NWE,@,BUF,W 37-22,6,6,Sun,0,0,,0,0,0,,,,0,0,,0,2,1,43,43.00,1,,,,,,,,,6,1,0,43,43,0
4965,Michael Vick,34-112,2014-10-16,NFL,NYJ,@,NWE,L 25-27,7,7,Thu,0,0,,0,0,0,,,,1,6,6.00,0,0,0,0,,0,,,,,,,,,0,1,6,6,6,0
4966,Michael Vick,34-088,2014-09-22,NFL,NYJ,,CHI,L 19-27,3,3,Mon,0,0,,0,0,0,,,,1,3,3.00,0,0,0,0,,0,,,,,,,,,0,1,3,3,3,0
4967,Delanie Walker,30-110,2014-11-30,NFL,TEN,@,HOU,L 21-45,12,13,Sun,0,0,,0,0,0,,,,0,0,,0,3,1,6,6.00,0,,,,,,,,,0,1,0,6,6,0
4968,Bryan Walters,27-012,2014-11-16,NFL,SEA,@,KAN,L 20-24,10,11,Sun,0,0,,0,0,0,,,,0,0,,0,0,0,0,,0,,,,,,,,,0,1,0,0,10,10
