
,,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Total Yds,Total Yds,Total Yds,Total Yds,Total Yds
1520,Drew Stanton,30-137,2014-09-21,NFL,ARI,,SFO,W 23-14,3,3,Sun,18,33,54.55,244,2,0,98.5,7.39,8.61,6,16,2.67,0,0,0,0,,0,,,,,,,,,0,6,260,16,16,0
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Touch,TotOff,YScm,APYd,RtY
1521,Kenny Stills,22-243,2014-12-21,NFL,NOR,,ATL,L 14-30,15,16,Sun,0,0,,0,0,0,,,,0,0,,0,8,6,68,11.33,0,,,,,,,,,0,6,0,68,68,0
1522,Ryan Tannehill,26-084,2014-10-19,NFL,MIA,@,CHI,W 27-14,6,7,Sun,25,32,78.13,277,2,0,123.6,8.66,9.91,6,48,8.00,0,0,0,0,,0,,,,,,,,,0,6,304,48,48,0
1523,Ryan Tannehill,26-147,2014-12-21,NFL,MIA,,MIN,W 37-35,15,16,Sun,35,47,74.47,396,4,1,118.7,8.43,9.17,6,-5,-0.83,0,0,0,0,,0,,,,,,,,,0,6,378,-5,-5,0
1524,Ben Tate,26-017,2014-09-07,NFL,CLE,@,PIT,L 27-30,1,1,Sun,0,0,,0,0,0,,,,6,41,6.83,0,0,0,0,,0,,,,,,,,,0,6,41,41,41,0
1525,Brandon Tate,27-070,2014-12-14,NFL,CIN,@,CLE,W 30-0,14,15,Sun,0,0,,0,0,0,,,,0,0,,0,1,0,0,,0,,,,,,,,,0,6,0,0,73,73
1526,Brandon Tate,27-007,2014-10-12,NFL,CIN,,CAR,T 37-37,5,6,Sun,0,0,,0,0,0,,,,1,9,9.00,0,5,4,38,9.50,1,,,,,,,,,6,6,9,47,76,29
1527,Marcus Thigpen,28-220,2014-12-21,NFL,BUF,@,OAK,L 24-26,15,16,Sun,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,,,,,,,,,0,6,0,0,76,76
1528,Daniel Thomas,26-334,2014-09-28,NFL,MIA,@,OAK,W 38-14,4,4,Sun,0,0,,0,0,0,,,,5,35,7.00,0,2,1,25,25.00,0,,,,,,,,,0,6,35,60,60,0
1529,Daniel Thomas,26-362,2014-10-26,NFL,MIA,@,JAX,W 27-13,7,8,Sun,0,0,,0,0,0,,,,4,18,4.50,0,2,2,12,6.00,0,,,,,,,,,0,6,18,30,30,0
1530,De'Anthony Thomas,21-329,2014-11-30,NFL,KAN,,DEN,L 16-29,12,13,Sun,0,0,,0,0,0,,,,0,0,,0,2,2,5,2.50,0,,,,,,,,,0,6,0,5,94,89
1531,De'Anthony Thomas,21-315,2014-11-16,NFL,KAN,,SEA,W 24-20,10,11,Sun,0,0,,0,0,0,,,,3,22,7.33,0,1,1,10,10.00,0,,,,,,,,,0,6,22,32,73,41
1532,De'Anthony Thomas,21-319,2014-11-20,NFL,KAN,@,OAK,L 20-24,11,12,Thu,0,0,,0,0,0,,,,1,9,9.00,0,6,2,15,7.50,0,,,,,,,,,0,6,9,24,75,51
1533,Demaryius Thomas,26-354,2014-12-14,NFL,DEN,@,SDG,W 22-10,14,15,Sun,0,0,,0,0,0,,,,0,0,,0,11,6,123,20.50,1,,,,,,,,,6,6,0,123,123,0
1534,Demaryius Thomas,26-340,2014-11-30,NFL,DEN,@,KAN,W 29-16,12,13,Sun,0,0,,0,0,0,,,,0,0,,0,13,6,63,10.50,1,,,,,,,,,6,6,0,63,63,0
1535,Julius Thomas,26-135,2014-11-09,NFL,DEN,@,OAK,W 41-17,9,10,Sun,0,0,,0,0,0,,,,0,0,,0,7,6,63,10.50,2,,,,,,,,,12,6,0,63,63,0
1536,Julius Thomas,26-100,2014-10-05,NFL,DEN,,ARI,W 41-20,4,5,Sun,0,0,,0,0,0,,,,0,0,,0,7,6,66,11.00,2,,,,,,,,,12,6,0,66,66,0
1537,Pierre Thomas,29-270,2014-09-14,NFL,NOR,@,CLE,L 24-26,2,2,Sun,0,0,,0,0,0,,,,3,16,5.33,0,3,3,16,5.33,0,,,,,,,,,0,6,16,32,32,0
1538,Chris Thompson,24-055,2014-12-14,NFL,WAS,@,NYG,L 13-24,14,15,Sun,0,0,,0,0,0,,,,3,12,4.00,0,4,3,22,7.33,1,,,,,,,,,6,6,12,34,34,0
1539,Juwan Thompson,22-159,2014-10-19,NFL,DEN,,SFO,W 42-17,6,7,Sun,0,0,,0,0,0,,,,6,30,5.00,0,0,0,0,,0,,,,,,,,,0,6,30,30,30,0
1540,Jordan Todman,24-293,2014-12-14,NFL,JAX,@,BAL,L 12-20,14,15,Sun,0,0,,0,0,0,,,,3,7,2.33,0,2,1,19,19.00,0,,,,,,,,,0,6,7,26,64,38
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Touch,TotOff,YScm,APYd,RtY
1541,Jordan Todman,24-244,2014-10-26,NFL,JAX,,MIA,L 13-27,8,8,Sun,0,0,,0,0,0,,,,2,10,5.00,0,2,2,0,0.00,0,,,,,,,,,0,6,10,10,62,52
1542,Jordan Todman,24-195,2014-09-07,NFL,JAX,@,PHI,L 17-34,1,1,Sun,0,0,,0,0,0,,,,3,6,2.00,0,2,1,5,5.00,0,,,,,,,,,0,6,6,11,47,36
1543,Mike Tolbert,28-302,2014-09-21,NFL,CAR,,PIT,L 19-37,3,3,Sun,0,0,,0,0,0,,,,3,4,1.33,0,3,3,20,6.67,0,,,,,,,,,0,6,4,24,24,0
1544,Fitzgerald Toussaint,24-231,2014-12-21,NFL,BAL,@,HOU,L 13-25,15,16,Sun,0,0,,0,0,0,,,,4,11,2.75,0,5,2,20,10.00,0,,,,,,,,,0,6,11,31,31,0
1545,Robert Turbin,24-360,2014-11-27,NFL,SEA,@,SFO,W 19-3,12,13,Thu,0,0,,0,0,0,,,,4,8,2.00,0,2,2,47,23.50,1,,,,,,,,,6,6,8,55,55,0
1546,Robert Turbin,24-342,2014-11-09,NFL,SEA,,NYG,W 38-17,9,10,Sun,0,0,,0,0,0,,,,6,32,5.33,0,0,0,0,,0,,,,,,,,,0,6,32,32,32,0
1547,Robert Turbin,24-356,2014-11-23,NFL,SEA,,ARI,W 19-3,11,12,Sun,0,0,,0,0,0,,,,4,12,3.00,0,3,2,3,1.50,0,,,,,,,,,0,6,12,15,15,0
1548,Robert Turbin,24-335,2014-11-02,NFL,SEA,,OAK,W 30-24,8,9,Sun,0,0,,0,0,0,,,,5,35,7.00,0,2,1,14,14.00,0,,,,,,,,,0,6,35,49,49,0
1549,Robert Turbin,24-276,2014-09-04,NFL,SEA,,GNB,W 36-16,1,1,Thu,0,0,,0,0,0,,,,6,27,4.50,0,0,0,0,,0,,,,,,,,,0,6,27,27,27,0
1550,Shane Vereen,25-224,2014-10-12,NFL,NWE,@,BUF,W 37-22,6,6,Sun,0,0,,0,0,0,,,,5,4,0.80,0,3,1,3,3.00,0,,,,,,,,,0,6,4,7,7,0
1551,Shane Vereen,25-196,2014-09-14,NFL,NWE,@,MIN,W 30-7,2,2,Sun,0,0,,0,0,0,,,,6,40,6.67,0,1,0,0,,0,,,,,,,,,0,6,40,40,40,0
1552,Mike Wallace,28-051,2014-09-21,NFL,MIA,,KAN,L 15-34,3,3,Sun,0,0,,0,0,0,,,,1,12,12.00,0,12,5,74,14.80,0,,,,,,,,,0,6,12,86,86,0
1553,Mike Wallace,28-135,2014-12-14,NFL,MIA,@,NWE,L 13-41,14,15,Sun,0,0,,0,0,0,,,,1,0,0.00,0,7,5,104,20.80,1,,,,,,,,,6,6,0,104,104,0
1554,Mike Wallace,28-122,2014-12-01,NFL,MIA,@,NYJ,W 16-13,12,13,Mon,0,0,,0,0,0,,,,0,0,,0,11,6,69,11.50,0,,,,,,,,,0,6,0,69,69,0
1555,Mike Wallace,28-079,2014-10-19,NFL,MIA,@,CHI,W 27-14,6,7,Sun,0,0,,0,0,0,,,,1,4,4.00,0,8,5,46,9.20,1,,,,,,,,,6,6,4,50,50,0
1556,Leon Washington,32-107,2014-12-14,NFL,TEN,,NYJ,L 11-16,14,15,Sun,0,0,,0,0,0,,,,0,0,,0,4,1,2,2.00,0,,,,,,,,,0,6,0,2,118,116
1557,Leon Washington,32-058,2014-10-26,NFL,TEN,,HOU,L 16-30,8,8,Sun,0,0,,0,0,0,,,,0,0,,0,3,3,40,13.33,0,,,,,,,,,0,6,0,40,117,77
1558,Nate Washington,31-108,2014-12-14,NFL,TEN,,NYJ,L 11-16,14,15,Sun,0,0,,0,0,0,,,,0,0,,0,10,6,102,17.00,0,,,,,,,,,0,6,0,102,102,0
1559,Wes Welker,33-143,2014-09-21,NFL,DEN,@,SEA,L 20-26,3,3,Sun,0,0,,0,0,0,,,,0,0,,0,9,6,60,10.00,0,,,,,,,,,0,6,0,60,60,0
1560,Terrance West,23-264,2014-10-19,NFL,CLE,@,JAX,L 6-24,6,7,Sun,0,0,,0,0,0,,,,5,8,1.60,0,1,1,0,0.00,0,,,,,,,,,0,6,8,8,8,0
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Touch,TotOff,YScm,APYd,RtY
1561,Griff Whalen,24-211,2014-09-28,NFL,IND,,TEN,W 41-17,4,4,Sun,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,,,,,,,,,0,6,0,0,75,75
1562,Markus Wheaton,23-283,2014-11-17,NFL,PIT,@,TEN,W 27-24,11,11,Mon,0,0,,0,0,0,,,,0,0,,0,5,1,6,6.00,0,,,,,,,,,0,6,0,6,129,123
1563,Markus Wheaton,23-212,2014-09-07,NFL,PIT,,CLE,W 30-27,1,1,Sun,0,0,,0,0,0,,,,0,0,,0,7,6,97,16.17,0,,,,,,,,,0,6,0,97,97,0
1564,James White,23-268,2014-10-26,NFL,NWE,,CHI,W 51-23,8,8,Sun,0,0,,0,0,0,,,,6,17,2.83,0,0,0,0,,0,,,,,,,,,0,6,17,17,17,0
1565,James White,23-241,2014-09-29,NFL,NWE,@,KAN,L 14-41,4,4,Mon,0,0,,0,0,0,,,,3,21,7.00,0,3,3,15,5.00,0,,,,,,,,,0,6,21,36,36,0
1566,Roddy White,33-007,2014-11-09,NFL,ATL,@,TAM,W 27-17,9,10,Sun,0,0,,0,0,0,,,,0,0,,0,6,6,72,12.00,1,,,,,,,,,6,6,0,72,72,0
1567,Roddy White,33-049,2014-12-21,NFL,ATL,@,NOR,W 30-14,15,16,Sun,0,0,,0,0,0,,,,0,0,,0,9,6,55,9.17,0,,,,,,,,,0,6,0,55,55,0
1568,Andre Williams,22-024,2014-09-21,NFL,NYG,,HOU,W 30-17,3,3,Sun,0,0,,0,0,0,,,,6,18,3.00,0,0,0,0,,0,,,,,,,,,0,6,18,18,18,0
1569,Chris Williams,27-061,2014-11-16,NFL,CHI,,MIN,W 21-13,10,11,Sun,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,,,,,,,,,0,6,0,0,59,59
1570,Terrance Williams,25-039,2014-10-27,NFL,DAL,,WAS,L 17-20,8,8,Mon,0,0,,0,0,0,,,,0,0,,0,7,6,69,11.50,0,,,,,,,,,0,6,0,69,69,0
1571,Terrance Williams,25-010,2014-09-28,NFL,DAL,,NOR,W 38-17,4,4,Sun,0,0,,0,0,0,,,,0,0,,0,7,6,77,12.83,2,,,,,,,,,12,6,0,77,77,0
1572,Russell Wilson,25-331,2014-10-26,NFL,SEA,@,CAR,W 13-9,7,8,Sun,20,32,62.50,199,1,1,77.5,6.22,5.44,6,35,5.83,0,0,0,0,,0,,,,,,,,,0,6,226,35,32,0
1573,Russell Wilson,26-022,2014-12-21,NFL,SEA,@,ARI,W 35-6,15,16,Sun,20,31,64.52,339,2,0,122.9,10.94,12.23,6,88,14.67,1,0,0,0,,0,,,,,,,,,6,6,417,88,88,0
1574,Russell Wilson,26-029,2014-12-28,NFL,SEA,,STL,W 20-6,16,17,Sun,17,25,68.00,239,0,1,81.9,9.56,7.76,6,7,1.17,0,0,0,0,,0,,,,,,,,,0,6,229,7,7,0
1575,Jason Witten,32-180,2014-11-02,NFL,DAL,,ARI,L 17-28,9,9,Sun,0,0,,0,0,0,,,,0,0,,0,7,6,62,10.33,0,,,,,,,,,0,6,0,62,62,0
1576,Robert Woods,22-213,2014-11-09,NFL,BUF,,KAN,L 13-17,9,10,Sun,0,0,,0,0,0,,,,0,0,,0,8,6,52,8.67,0,,,,,,,,,0,6,0,52,52,0
1577,Kendall Wright,24-299,2014-09-07,NFL,TEN,@,KAN,W 26-10,1,1,Sun,0,0,,0,0,0,,,,0,0,,0,7,6,46,7.67,1,,,,,,,,,6,6,0,46,46,0
1578,Kendall Wright,24-341,2014-10-19,NFL,TEN,@,WAS,L 17-19,7,7,Sun,0,0,,0,0,0,,,,0,0,,0,9,6,68,11.33,1,,,,,,,,,6,6,0,68,68,0
1579,Davante Adams,21-264,2014-09-14,NFL,GNB,,NYJ,W 31-24,2,2,Sun,0,0,,0,0,0,,,,0,0,,0,7,5,50,10.00,0,,,,,,,,,0,5,0,50,50,0
1580,Keenan Allen,22-134,2014-09-08,NFL,SDG,@,ARI,L 17-18,1,1,Mon,0,0,,0,0,0,,,,0,0,,0,9,5,37,7.40,0,,,,,,,,,0,5,0,37,37,0
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Touch,TotOff,YScm,APYd,RtY
1581,Keenan Allen,22-140,2014-09-14,NFL,SDG,,SEA,W 30-21,2,2,Sun,0,0,,0,0,0,,,,0,0,,0,6,5,55,11.00,0,,,,,,,,,0,5,0,55,55,0
1582,Jace Amaro,22-094,2014-09-28,NFL,NYJ,,DET,L 17-24,4,4,Sun,0,0,,0,0,0,,,,0,0,,0,5,5,58,11.60,0,,,,,,,,,0,5,0,58,58,0
1583,Jace Amaro,22-122,2014-10-26,NFL,NYJ,,BUF,L 23-43,8,8,Sun,0,0,,0,0,0,,,,0,0,,0,5,5,51,10.20,0,,,,,,,,,0,5,0,51,51,0
1584,Danny Amendola,29-028,2014-11-30,NFL,NWE,@,GNB,L 21-26,12,13,Sun,0,0,,0,0,0,,,,0,0,,0,1,0,0,,0,,,,,,,,,0,5,0,0,79,79
1585,Danny Amendola,28-348,2014-10-16,NFL,NWE,,NYJ,W 27-25,7,7,Thu,0,0,,0,0,0,,,,0,0,,0,3,1,19,19.00,1,,,,,,,,,6,5,0,19,124,105
1586,C.J. Anderson,23-216,2014-09-14,NFL,DEN,,KAN,W 24-17,2,2,Sun,0,0,,0,0,0,,,,5,31,6.20,0,0,0,0,,0,,,,,,,,,0,5,31,31,31,0
1587,Derek Anderson,31-182,2014-12-14,NFL,CAR,,TAM,W 19-17,14,15,Sun,25,40,62.50,277,1,0,91.4,6.93,7.43,5,14,2.80,0,0,0,0,,0,,,,,,,,,0,5,283,14,7,0
1588,Dri Archer,23-057,2014-10-05,NFL,PIT,@,JAX,W 17-9,5,5,Sun,0,0,,0,0,0,,,,1,2,2.00,0,2,2,8,4.00,0,,,,,,,,,0,5,2,10,46,36
1589,Matt Asiata,27-115,2014-11-16,NFL,MIN,@,CHI,L 13-21,10,11,Sun,0,0,,0,0,0,,,,1,2,2.00,0,5,3,12,4.00,0,,,,,,,,,0,5,2,14,18,4
1590,Miles Austin,30-129,2014-11-06,NFL,CLE,@,CIN,W 24-3,9,10,Thu,0,0,,0,0,0,,,,0,0,,0,6,5,48,9.60,0,,,,,,,,,0,5,0,48,48,0
1591,Tavon Austin,23-239,2014-11-09,NFL,STL,@,ARI,L 14-31,9,10,Sun,0,0,,0,0,0,,,,1,10,10.00,0,3,2,20,10.00,0,,,,,,,,,0,5,10,30,34,4
1592,Tavon Austin,23-271,2014-12-11,NFL,STL,,ARI,L 6-12,14,15,Thu,0,0,,0,0,0,,,,1,8,8.00,0,4,2,14,7.00,0,,,,,,,,,0,5,8,22,20,-2
1593,Jason Avant,31-175,2014-10-12,NFL,CAR,@,CIN,T 37-37,6,6,Sun,0,0,,0,0,0,,,,0,0,,0,7,5,47,9.40,0,,,,,,,,,0,5,0,47,47,0
1594,Jason Avant,31-231,2014-12-07,NFL,KAN,@,ARI,L 14-17,13,14,Sun,0,0,,0,0,0,,,,0,0,,0,7,5,64,12.80,0,,,,,,,,,0,5,0,64,64,0
1595,Jason Avant,31-147,2014-09-14,NFL,CAR,,DET,W 24-7,2,2,Sun,0,0,,0,0,0,,,,0,0,,0,7,5,54,10.80,1,,,,,,,,,6,5,0,54,54,0
1596,Stedman Bailey,24-019,2014-11-30,NFL,STL,,OAK,W 52-0,12,13,Sun,0,0,,0,0,0,,,,0,0,,0,6,5,100,20.00,0,,,,,,,,,0,5,0,100,100,0
1597,Doug Baldwin,26-015,2014-10-06,NFL,SEA,@,WAS,W 27-17,4,5,Mon,0,0,,0,0,0,,,,0,0,,0,5,4,50,12.50,0,,,,,,,,,0,5,0,50,67,17
1598,Kelvin Benjamin,23-298,2014-11-30,NFL,CAR,@,MIN,L 13-31,12,13,Sun,0,0,,0,0,0,,,,0,0,,0,12,5,56,11.20,0,,,,,,,,,0,5,0,56,56,0
1599,Kelvin Benjamin,23-235,2014-09-28,NFL,CAR,@,BAL,L 10-38,4,4,Sun,0,0,,0,0,0,,,,0,0,,0,9,5,76,15.20,1,,,,,,,,,6,5,0,76,76,0
1600,Kelvin Benjamin,23-319,2014-12-21,NFL,CAR,,CLE,W 17-13,15,16,Sun,0,0,,0,0,0,,,,0,0,,0,12,5,47,9.40,0,,,,,,,,,0,5,0,47,47,0
