
,,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Total Yds,Total Yds,Total Yds,Total Yds,Total Yds
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Touch,TotOff,YScm,APYd,RtY
1501,Emmanuel Sanders,27-287,2014-12-28,NFL,DEN,,OAK,W 47-14,16,17,Sun,0,0,,0,0,0,,,,0,0,,0,9,6,73,12.17,0,,,,,,,,,0,6,0,73,73,0
1502,Emmanuel Sanders,27-259,2014-11-30,NFL,DEN,@,KAN,W 29-16,12,13,Sun,0,0,,0,0,0,,,,0,0,,0,11,6,73,12.17,0,,,,,,,,,0,6,0,73,73,0
1503,Bishop Sankey,21-357,2014-09-07,NFL,TEN,@,KAN,W 26-10,1,1,Sun,0,0,,0,0,0,,,,6,25,4.17,0,0,0,0,,0,,,,,,,,,0,6,25,25,25,0
1504,Mohamed Sanu,25-093,2014-11-23,NFL,CIN,@,HOU,W 22-13,11,12,Sun,0,0,,0,0,0,,,,1,1,1.00,0,7,5,48,9.60,1,,,,,,,,,6,6,1,49,49,0
1505,Cecil Shorts,26-357,2014-12-14,NFL,JAX,@,BAL,L 12-20,14,15,Sun,0,0,,0,0,0,,,,0,0,,0,11,6,76,12.67,0,,,,,,,,,0,6,0,76,76,0
1506,Charles Sims,24-079,2014-12-07,NFL,TAM,@,DET,L 17-34,13,14,Sun,0,0,,0,0,0,,,,5,-4,-0.80,0,2,1,24,24.00,0,,,,,,,,,0,6,-4,20,20,0
1507,Alex Smith,30-165,2014-10-19,NFL,KAN,@,SDG,W 23-20,6,7,Sun,19,28,67.86,221,1,0,103.4,7.89,8.61,6,29,4.83,0,0,0,0,,0,,,,,,,,,0,6,240,29,29,0
1508,Alex Smith,30-123,2014-09-07,NFL,KAN,,TEN,L 10-26,1,1,Sun,19,35,54.29,202,1,3,45.2,5.77,2.49,6,36,6.00,0,0,0,0,,0,,,,,,,,,0,6,214,36,36,0
1509,Antone Smith,29-025,2014-10-12,NFL,ATL,,CHI,L 13-27,6,6,Sun,0,0,,0,0,0,,,,2,5,2.50,0,4,4,64,16.00,1,,,,,,,,,6,6,5,69,69,0
1510,Geno Smith,24-058,2014-12-07,NFL,NYJ,@,MIN,L 24-30,13,14,Sun,18,29,62.07,254,1,1,87.4,8.76,7.90,6,33,5.50,0,0,0,0,,0,,,,,,,,,0,6,275,33,33,0
1511,Steve Smith,35-122,2014-09-11,NFL,BAL,,PIT,W 26-6,2,2,Thu,0,0,,0,0,0,,,,0,0,,0,10,6,71,11.83,0,,,,,,,,,0,6,0,71,71,0
1512,Torrey Smith,25-308,2014-11-30,NFL,BAL,,SDG,L 33-34,12,13,Sun,0,0,,0,0,0,,,,0,0,,0,8,6,65,10.83,2,,,,,,,,,12,6,0,65,65,0
1513,C.J. Spiller,27-145,2014-12-28,NFL,BUF,@,NWE,W 17-9,16,17,Sun,0,0,,0,0,0,,,,5,17,3.40,0,2,1,2,2.00,0,,,,,,,,,0,6,17,19,19,0
1514,Darren Sproles,31-191,2014-12-28,NFL,PHI,@,NYG,W 34-26,16,17,Sun,0,0,,0,0,0,,,,1,5,5.00,0,6,3,23,7.67,0,,,,,,,,,0,6,5,28,43,15
1515,Darren Sproles,31-100,2014-09-28,NFL,PHI,@,SFO,L 21-26,4,4,Sun,0,0,,0,0,0,,,,1,4,4.00,0,4,2,2,1.00,0,,,,,,,,,6,6,4,6,92,86
1516,Darren Sproles,31-177,2014-12-14,NFL,PHI,,DAL,L 27-38,14,15,Sun,0,0,,0,0,0,,,,3,5,1.67,1,2,2,8,4.00,0,,,,,,,,,6,6,5,13,14,1
1517,Zac Stacy,23-235,2014-11-30,NFL,STL,,OAK,W 52-0,12,13,Sun,0,0,,0,0,0,,,,6,27,4.50,0,0,0,0,,0,,,,,,,,,0,6,27,27,27,0
1518,Matthew Stafford,26-226,2014-09-21,NFL,DET,,GNB,W 19-7,3,3,Sun,22,34,64.71,246,0,2,61.6,7.24,4.59,6,8,1.33,0,0,0,0,,0,,,,,,,,,0,6,246,8,8,0
1519,Matthew Stafford,26-233,2014-09-28,NFL,DET,@,NYJ,W 24-17,4,4,Sun,24,34,70.59,293,2,0,116.4,8.62,9.79,6,8,1.33,1,0,0,0,,0,,,,,,,,,6,6,280,8,8,0
