
,,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Total Yds,Total Yds,Total Yds,Total Yds,Total Yds
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Touch,TotOff,YScm,APYd,RtY
3101,Austin Seferian-Jenkins,22-027,2014-10-26,NFL,TAM,,MIN,L 13-19,7,8,Sun,0,0,,0,0,0,,,,0,0,,0,4,3,26,8.67,1,,,,,,,,,6,3,0,26,26,0
3102,Austin Seferian-Jenkins,21-364,2014-09-28,NFL,TAM,@,PIT,W 27-24,4,4,Sun,0,0,,0,0,0,,,,0,0,,0,7,3,44,14.67,0,,,,,,,,,0,3,0,44,44,0
3103,Marcus Sherels,27-012,2014-10-12,NFL,MIN,,DET,L 3-17,6,6,Sun,0,0,,0,0,0,,,,0,0,,0,0,0,0,,0,,,,,,,,,0,3,0,0,37,37
3104,Cecil Shorts,26-301,2014-10-19,NFL,JAX,,CLE,W 24-6,7,7,Sun,0,0,,0,0,0,,,,0,0,,0,9,3,12,4.00,0,,,,,,,,,0,3,0,12,12,0
3105,Cecil Shorts,26-308,2014-10-26,NFL,JAX,,MIA,L 13-27,8,8,Sun,0,0,,0,0,0,,,,0,0,,0,8,3,41,13.67,0,,,,,,,,,0,3,0,41,41,0
3106,Dion Sims,23-306,2014-12-21,NFL,MIA,,MIN,W 37-35,15,16,Sun,0,0,,0,0,0,,,,0,0,,0,3,3,35,11.67,1,,,,,,,,,6,3,0,35,35,0
3107,Alex Smith,30-172,2014-10-26,NFL,KAN,,STL,W 34-7,7,8,Sun,25,29,86.21,223,0,0,98.7,7.69,7.69,3,24,8.00,0,0,0,0,,0,,,,,,,,,0,3,239,24,24,0
3108,Alex Smith,30-221,2014-12-14,NFL,KAN,,OAK,W 31-13,14,15,Sun,18,30,60.00,297,2,0,115.6,9.90,11.23,3,17,5.67,0,0,0,0,,0,,,,,,,,,0,3,312,17,17,0
3109,Antone Smith,29-039,2014-10-26,NFL,ATL,,DET,L 21-22,8,8,Sun,0,0,,0,0,0,,,,3,5,1.67,0,0,0,0,,0,,,,,,,,,0,3,5,5,5,0
3110,Antone Smith,28-355,2014-09-07,NFL,ATL,,NOR,W 37-34,1,1,Sun,0,0,,0,0,0,,,,2,7,3.50,0,1,1,54,54.00,1,,,,,,,,,6,3,7,61,61,0
3111,Geno Smith,24-072,2014-12-21,NFL,NYJ,,NWE,L 16-17,15,16,Sun,17,27,62.96,210,1,1,83.9,7.78,6.85,3,9,3.00,0,0,0,0,,0,,,,,,,,,0,3,200,9,9,0
3112,Geno Smith,23-347,2014-09-22,NFL,NYJ,,CHI,L 19-27,3,3,Mon,26,43,60.47,316,1,2,71.5,7.35,5.72,3,20,6.67,0,0,0,0,,0,,,,,,,,,0,3,320,20,20,0
3113,Steve Smith,35-167,2014-10-26,NFL,BAL,@,CIN,L 24-27,8,8,Sun,0,0,,0,0,0,,,,0,0,,0,9,3,35,11.67,0,,,,,,,,,0,3,0,35,35,0
3114,Steve Smith,35-181,2014-11-09,NFL,BAL,,TEN,W 21-7,10,10,Sun,0,0,,0,0,0,,,,0,0,,0,7,3,17,5.67,0,,,,,,,,,0,3,0,17,17,0
3115,Steve Smith,35-160,2014-10-19,NFL,BAL,,ATL,W 29-7,7,7,Sun,0,0,,0,0,0,,,,0,0,,0,5,3,67,22.33,0,,,,,,,,,0,3,0,67,67,0
3116,Torrey Smith,25-266,2014-10-19,NFL,BAL,,ATL,W 29-7,7,7,Sun,0,0,,0,0,0,,,,0,0,,0,5,3,81,27.00,1,,,,,,,,,6,3,0,81,81,0
3117,Torrey Smith,25-252,2014-10-05,NFL,BAL,@,IND,L 13-20,5,5,Sun,0,0,,0,0,0,,,,0,0,,0,8,3,38,12.67,0,,,,,,,,,0,3,0,38,38,0
3118,Torrey Smith,25-224,2014-09-07,NFL,BAL,,CIN,L 16-23,1,1,Sun,0,0,,0,0,0,,,,0,0,,0,7,3,50,16.67,0,,,,,,,,,0,3,0,50,50,0
3119,C.J. Spiller,27-075,2014-10-19,NFL,BUF,,MIN,W 17-16,7,7,Sun,0,0,,0,0,0,,,,1,53,53.00,0,1,1,3,3.00,0,,,,,,,,,0,3,53,56,59,3
3120,Matthew Stafford,26-261,2014-10-26,NFL,DET,@,ATL,W 22-21,8,8,Sun,24,47,51.06,325,2,1,78.8,6.91,6.81,3,9,3.00,0,0,0,0,,0,,,,,,,,,0,3,334,9,4,0
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Touch,TotOff,YScm,APYd,RtY
3121,Matthew Stafford,26-289,2014-11-23,NFL,DET,@,NWE,L 9-34,11,12,Sun,18,46,39.13,264,0,1,49.5,5.74,4.76,3,18,6.00,0,0,0,0,,0,,,,,,,,,0,3,262,18,18,0
3122,Matthew Stafford,26-240,2014-10-05,NFL,DET,,BUF,L 14-17,5,5,Sun,18,31,58.06,231,1,1,78.8,7.45,6.65,3,8,2.67,0,0,0,0,,0,,,,,,,,,0,3,212,8,8,0
3123,Matthew Stafford,26-303,2014-12-07,NFL,DET,,TAM,W 34-17,13,14,Sun,26,34,76.47,311,3,0,133.3,9.15,10.91,3,-2,-0.67,0,0,0,0,,0,,,,,,,,,0,3,292,-2,-2,0
3124,James Starks,28-278,2014-11-30,NFL,GNB,,NWE,W 26-21,12,13,Sun,0,0,,0,0,0,,,,1,2,2.00,0,2,2,34,17.00,0,,,,,,,,,0,3,2,36,36,0
3125,Kenny Stills,22-201,2014-11-09,NFL,NOR,,SFO,L 24-27,9,10,Sun,0,0,,0,0,0,,,,0,0,,0,6,3,26,8.67,0,,,,,,,,,0,3,0,26,26,0
3126,Kenny Stills,22-229,2014-12-07,NFL,NOR,,CAR,L 10-41,13,14,Sun,0,0,,0,0,0,,,,0,0,,0,4,3,23,7.67,0,,,,,,,,,0,3,0,23,23,0
3127,Kenny Stills,22-145,2014-09-14,NFL,NOR,@,CLE,L 24-26,2,2,Sun,0,0,,0,0,0,,,,0,0,,0,4,3,25,8.33,0,,,,,,,,,0,3,0,25,25,0
3128,Rod Streater,26-224,2014-09-21,NFL,OAK,@,NWE,L 9-16,3,3,Sun,0,0,,0,0,0,,,,0,0,,0,3,3,32,10.67,0,,,,,,,,,0,3,0,32,32,0
3129,Lorenzo Taliaferro,22-321,2014-11-09,NFL,BAL,,TEN,W 21-7,10,10,Sun,0,0,,0,0,0,,,,3,10,3.33,0,0,0,0,,0,,,,,,,,,0,3,10,10,10,0
3130,Ryan Tannehill,26-042,2014-09-07,NFL,MIA,,NWE,W 33-20,1,1,Sun,18,32,56.25,178,2,1,79.9,5.56,5.41,3,-2,-0.67,0,0,0,0,,0,,,,,,,,,0,3,167,-2,-4,0
3131,Ryan Tannehill,26-077,2014-10-12,NFL,MIA,,GNB,L 24-27,5,6,Sun,20,31,64.52,244,2,2,83.3,7.87,6.26,3,49,16.33,0,0,0,0,,0,,,,,,,,,0,3,286,49,49,0
3132,Ryan Tannehill,26-140,2014-12-14,NFL,MIA,@,NWE,L 13-41,14,15,Sun,29,47,61.70,346,1,2,73.5,7.36,5.87,3,21,7.00,0,0,0,0,,0,,,,,,,,,0,3,329,21,19,0
3133,Ben Tate,26-108,2014-12-07,NFL,MIN,,NYJ,W 30-24,13,14,Sun,0,0,,0,0,0,,,,3,15,5.00,0,0,0,0,,0,,,,,,,,,0,3,15,15,15,0
