
,,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Total Yds,Total Yds,Total Yds,Total Yds,Total Yds
3134,Brandon Tate,27-028,2014-11-02,NFL,CIN,,JAX,W 33-23,8,9,Sun,0,0,,0,0,0,,,,0,0,,0,1,1,10,10.00,0,,,,,,,,,0,3,0,10,33,23
3135,Brandon Tate,27-032,2014-11-06,NFL,CIN,,CLE,L 3-24,9,10,Thu,0,0,,0,0,0,,,,0,0,,0,0,0,0,,0,,,,,,,,,0,3,0,0,21,21
3136,Brandon Tate,27-084,2014-12-28,NFL,CIN,@,PIT,L 17-27,16,17,Sun,0,0,,0,0,0,,,,0,0,,0,3,2,22,11.00,0,,,,,,,,,0,3,0,22,28,6
3137,Brandon Tate,26-351,2014-09-21,NFL,CIN,,TEN,W 33-7,3,3,Sun,0,0,,0,0,0,,,,1,12,12.00,0,1,1,5,5.00,0,,,,,,,,,0,3,12,17,35,18
3138,Brandon Tate,27-021,2014-10-26,NFL,CIN,,BAL,W 27-24,7,8,Sun,0,0,,0,0,0,,,,0,0,,0,2,2,30,15.00,0,,,,,,,,,0,3,0,30,36,6
3139,Brandon Tate,27-014,2014-10-19,NFL,CIN,@,IND,L 0-27,6,7,Sun,0,0,,0,0,0,,,,0,0,,0,2,1,7,7.00,0,,,,,,,,,0,3,0,7,33,26
3140,Golden Tate,26-106,2014-11-16,NFL,DET,@,ARI,L 6-14,10,11,Sun,0,0,,0,0,0,,,,1,8,8.00,0,2,2,41,20.50,0,,,,,,,,,0,3,8,49,49,0
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Touch,TotOff,YScm,APYd,RtY
3141,Golden Tate,26-148,2014-12-28,NFL,DET,@,GNB,L 20-30,16,17,Sun,0,0,,0,0,0,,,,0,0,,0,6,3,45,15.00,0,,,,,,,,,0,3,0,45,45,0
3142,Stepfan Taylor,23-160,2014-11-16,NFL,ARI,,DET,W 14-6,10,11,Sun,0,0,,0,0,0,,,,2,6,3.00,0,1,1,4,4.00,0,,,,,,,,,0,3,6,10,10,0
3143,Adam Thielen,24-128,2014-12-28,NFL,MIN,,CHI,W 13-9,16,17,Sun,0,0,,0,0,0,,,,0,0,,0,3,3,68,22.67,1,,,,,,,,,6,3,0,68,68,0
3144,Marcus Thigpen,28-178,2014-11-09,NFL,TAM,,ATL,L 17-27,9,10,Sun,0,0,,0,0,0,,,,0,0,,0,1,0,0,,0,,,,,,,,,0,3,0,0,103,103
3145,Daniel Thomas,26-327,2014-09-21,NFL,MIA,,KAN,L 15-34,3,3,Sun,0,0,,0,0,0,,,,2,15,7.50,0,2,1,21,21.00,0,,,,,,,,,0,3,15,36,36,0
3146,Daniel Thomas,27-025,2014-11-23,NFL,MIA,@,DEN,L 36-39,11,12,Sun,0,0,,0,0,0,,,,3,19,6.33,1,0,0,0,,0,,,,,,,1,,8,3,19,19,19,0
3147,De'Anthony Thomas,21-273,2014-10-05,NFL,KAN,@,SFO,L 17-22,5,5,Sun,0,0,,0,0,0,,,,1,17,17.00,1,0,0,0,,0,,,,,,,,,6,3,17,17,55,38
3148,Julius Thomas,26-086,2014-09-21,NFL,DEN,@,SEA,L 20-26,3,3,Sun,0,0,,0,0,0,,,,0,0,,0,4,3,17,5.67,1,,,,,,,,,6,3,0,17,17,0
3149,Kenbrell Thompkins,26-124,2014-11-30,NFL,OAK,@,STL,L 0-52,12,13,Sun,0,0,,0,0,0,,,,0,0,,0,5,2,28,14.00,0,,,,,,,,,0,3,0,28,34,6
3150,Kenbrell Thompkins,26-152,2014-12-28,NFL,OAK,@,DEN,L 14-47,16,17,Sun,0,0,,0,0,0,,,,0,0,,0,3,1,2,2.00,0,,,,,,,,,0,3,0,2,39,37
3151,Chris Thompson,24-061,2014-12-20,NFL,WAS,,PHI,W 27-24,15,16,Sat,0,0,,0,0,0,,,,0,0,,0,3,3,5,1.67,0,,,,,,,,,0,3,0,5,5,0
3152,Juwan Thompson,22-173,2014-11-02,NFL,DEN,@,NWE,L 21-43,8,9,Sun,0,0,,0,0,0,,,,2,6,3.00,0,1,1,6,6.00,0,,,,,,,,,0,3,6,12,12,0
3153,Juwan Thompson,22-145,2014-10-05,NFL,DEN,,ARI,W 41-20,4,5,Sun,0,0,,0,0,0,,,,3,15,5.00,1,0,0,0,,0,,,,,,,,,6,3,15,15,15,0
3154,Levine Toilolo,23-039,2014-09-07,NFL,ATL,,NOR,W 37-34,1,1,Sun,0,0,,0,0,0,,,,0,0,,0,6,3,19,6.33,1,,,,,,,,,6,3,0,19,19,0
3155,Mike Tolbert,29-021,2014-12-14,NFL,CAR,,TAM,W 19-17,14,15,Sun,0,0,,0,0,0,,,,2,4,2.00,0,0,0,0,,0,,,,,,,,,0,3,4,4,6,2
3156,Nick Toon,26-020,2014-11-24,NFL,NOR,,BAL,L 27-34,11,12,Mon,0,0,,0,0,0,,,,0,0,,0,5,3,42,14.00,0,,,,,,,,,0,3,0,42,42,0
3157,Robert Turbin,24-293,2014-09-21,NFL,SEA,,DEN,W 26-20,3,3,Sun,0,0,,0,0,0,,,,2,1,0.50,0,1,1,4,4.00,0,,,,,,,,,0,3,1,5,5,0
3158,Delanie Walker,30-061,2014-10-12,NFL,TEN,,JAX,W 16-14,6,6,Sun,0,0,,0,0,0,,,,0,0,,0,8,3,57,19.00,0,,,,,,,,,0,3,0,57,57,0
3159,Delanie Walker,30-026,2014-09-07,NFL,TEN,@,KAN,W 26-10,1,1,Sun,0,0,,0,0,0,,,,0,0,,0,4,3,37,12.33,1,,,,,,,,,6,3,0,37,37,0
3160,Delanie Walker,30-089,2014-11-09,NFL,TEN,@,BAL,L 7-21,9,10,Sun,0,0,,0,0,0,,,,0,0,,0,5,3,37,12.33,0,,,,,,,,,0,3,0,37,37,0
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Touch,TotOff,YScm,APYd,RtY
3161,Mike Wallace,28-093,2014-11-02,NFL,MIA,,SDG,W 37-0,8,9,Sun,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,8,3,50,16.67,0,,,,,,,,,0,3,0,50,50,0
3162,Mike Wallace,28-128,2014-12-07,NFL,MIA,,BAL,L 13-28,13,14,Sun,0,0,,0,0,0,,,,0,0,,0,4,3,39,13.00,0,,,,,,,,,0,3,0,39,39,0
3163,Bryan Walters,27-040,2014-12-14,NFL,SEA,,SFO,W 17-7,14,15,Sun,0,0,,0,0,0,,,,0,0,,0,0,0,0,,0,,,,,,,,,0,3,0,0,19,19
3164,Leon Washington,32-086,2014-11-23,NFL,TEN,@,PHI,L 24-43,11,12,Sun,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,,,,,,,,,0,3,0,0,94,94
3165,Leon Washington,32-037,2014-10-05,NFL,TEN,,CLE,L 28-29,5,5,Sun,0,0,,0,0,0,,,,0,0,,0,1,1,7,7.00,0,,,,,,,,,0,3,0,7,38,31
3166,Leon Washington,32-044,2014-10-12,NFL,TEN,,JAX,W 16-14,6,6,Sun,0,0,,0,0,0,,,,1,1,1.00,0,3,1,11,11.00,0,,,,,,,,,0,3,1,12,62,50
3167,Nate Washington,31-101,2014-12-07,NFL,TEN,,NYG,L 7-36,13,14,Sun,0,0,,0,0,0,,,,0,0,,0,3,3,56,18.67,0,,,,,,,,,0,3,0,56,56,0
3168,Sammy Watkins,21-134,2014-10-26,NFL,BUF,@,NYJ,W 43-23,8,8,Sun,0,0,,0,0,0,,,,0,0,,0,6,3,157,52.33,1,,,,,,,,,6,3,0,157,157,0
3169,Sammy Watkins,21-163,2014-11-24,NFL,BUF,,NYJ,W 38-3,11,12,Mon,0,0,,0,0,0,,,,0,0,,0,5,3,35,11.67,0,,,,,,,,,0,3,0,35,35,0
3170,Sammy Watkins,21-190,2014-12-21,NFL,BUF,@,OAK,L 24-26,15,16,Sun,0,0,,0,0,0,,,,0,0,,0,7,3,75,25.00,1,,,,,,,,,6,3,0,75,75,0
3171,Sammy Watkins,21-085,2014-09-07,NFL,BUF,@,CHI,W 23-20,1,1,Sun,0,0,,0,0,0,,,,0,0,,0,4,3,31,10.33,0,,,,,,,,,0,3,0,31,31,0
3172,Sammy Watkins,21-169,2014-11-30,NFL,BUF,,CLE,W 26-10,12,13,Sun,0,0,,0,0,0,,,,0,0,,0,9,3,11,3.67,0,,,,,,,,,0,3,0,11,11,0
3173,Reggie Wayne,35-302,2014-09-15,NFL,IND,,PHI,L 27-30,2,2,Mon,0,0,,0,0,0,,,,0,0,,0,7,3,28,9.33,0,,,,,,,,,0,3,0,28,28,0
3174,Reggie Wayne,36-034,2014-12-21,NFL,IND,@,DAL,L 7-42,15,16,Sun,0,0,,0,0,0,,,,0,0,,0,5,3,23,7.67,0,,,,,,,,,0,3,0,23,23,0
3175,Reggie Wayne,36-006,2014-11-23,NFL,IND,,JAX,W 23-3,11,12,Sun,0,0,,0,0,0,,,,0,0,,0,9,3,10,3.33,0,,,,,,,,,0,3,0,10,10,0
3176,Brandon Weeden,31-026,2014-11-09,NFL,DAL,@,JAX,W 31-17,10,10,Sun,1,1,100.00,8,0,0,100.0,8.00,8.00,3,-3,-1.00,0,0,0,0,,0,,,,,,,,,0,3,5,-3,-3,0
3177,Eric Weems,29-157,2014-12-08,NFL,ATL,@,GNB,L 37-43,13,14,Mon,0,0,,0,0,0,,,,0,0,,0,1,1,5,5.00,1,,,,,,,,,6,3,0,5,39,34
3178,Wes Welker,33-171,2014-10-19,NFL,DEN,,SFO,W 42-17,6,7,Sun,0,0,,0,0,0,,,,0,0,,0,3,3,50,16.67,1,,,,,,,,,6,3,0,50,50,0
3179,Wes Welker,33-185,2014-11-02,NFL,DEN,@,NWE,L 21-43,8,9,Sun,0,0,,0,0,0,,,,0,0,,0,8,3,31,10.33,0,,,,,,,,,0,3,0,31,31,0
3180,Griff Whalen,24-232,2014-10-19,NFL,IND,,CIN,W 27-0,7,7,Sun,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,,,,,,,,,0,3,0,0,40,40
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Touch,TotOff,YScm,APYd,RtY
3181,Markus Wheaton,23-303,2014-12-07,NFL,PIT,@,CIN,W 42-21,13,14,Sun,0,0,,0,0,0,,,,0,0,,0,3,2,31,15.50,0,,,,,,,,,0,3,0,31,50,19
3182,Markus Wheaton,23-268,2014-11-02,NFL,PIT,,BAL,W 43-23,9,9,Sun,0,0,,0,0,0,,,,1,4,4.00,0,4,2,62,31.00,1,,,,,,,,,6,3,4,66,66,0
3183,Roddy White,32-344,2014-10-12,NFL,ATL,,CHI,L 13-27,6,6,Sun,0,0,,0,0,0,,,,0,0,,0,6,3,40,13.33,0,,,,,,,,,0,3,0,40,40,0
3184,Roddy White,33-036,2014-12-08,NFL,ATL,@,GNB,L 37-43,13,14,Mon,0,0,,0,0,0,,,,0,0,,0,5,3,42,14.00,1,,,,,,,,,6,3,0,42,42,0
3185,Charlie Whitehurst,32-134,2014-12-18,NFL,TEN,@,JAX,L 13-21,15,16,Thu,24,35,68.57,287,1,0,102.9,8.20,8.77,3,12,4.00,0,0,0,0,,0,,,,,,,,,0,3,274,12,12,0
3186,Andre Williams,22-080,2014-11-16,NFL,NYG,,SFO,L 10-16,10,11,Sun,0,0,,0,0,0,,,,2,2,1.00,0,2,1,4,4.00,0,,,,,,,,,0,3,2,6,6,0
3187,Damien Williams,,2014-12-07,NFL,MIA,,BAL,L 13-28,13,14,Sun,0,0,,0,0,0,,,,2,4,2.00,0,3,1,7,7.00,0,,,,,,,,,0,3,4,11,11,0
3188,Damien Williams,,2014-10-19,NFL,MIA,@,CHI,W 27-14,6,7,Sun,0,0,,0,0,0,,,,1,-1,-1.00,0,2,2,12,6.00,0,,,,,,,,,0,3,-1,11,11,0
3189,Terrance Williams,25-101,2014-12-28,NFL,DAL,@,WAS,W 44-17,16,17,Sun,0,0,,0,0,0,,,,0,0,,0,5,3,68,22.67,0,,,,,,,,,0,3,0,68,68,0
3190,Luke Willson,24-305,2014-11-16,NFL,SEA,@,KAN,L 20-24,10,11,Sun,0,0,,0,0,0,,,,0,0,,0,3,3,51,17.00,0,,,,,,,,,0,3,0,51,51,0
3191,Luke Willson,24-340,2014-12-21,NFL,SEA,@,ARI,W 35-6,15,16,Sun,0,0,,0,0,0,,,,0,0,,0,3,3,139,46.33,2,,,,,,,,,12,3,0,139,139,0
3192,Albert Wilson,22-155,2014-12-14,NFL,KAN,,OAK,W 31-13,14,15,Sun,0,0,,0,0,0,,,,0,0,,0,5,3,69,23.00,0,,,,,,,,,0,3,0,69,69,0
3193,Marquess Wilson,22-092,2014-12-15,NFL,CHI,,NOR,L 15-31,14,15,Mon,0,0,,0,0,0,,,,0,0,,0,5,3,16,5.33,1,,,,,,,,,6,3,0,16,16,0
3194,George Winn,24-041,2014-12-21,NFL,DET,@,CHI,W 20-14,15,16,Sun,0,0,,0,0,0,,,,1,5,5.00,0,0,0,0,,0,,,,,,,,,0,3,5,5,33,28
3195,Robert Woods,22-164,2014-09-21,NFL,BUF,,SDG,L 10-22,3,3,Sun,0,0,,0,0,0,,,,0,0,,0,8,3,19,6.33,0,,,,,,,,,0,3,0,19,19,0
3196,Robert Woods,22-178,2014-10-05,NFL,BUF,@,DET,W 17-14,5,5,Sun,0,0,,0,0,0,,,,0,0,,0,4,3,37,12.33,0,,,,,,,,,0,3,0,37,37,0
3197,Robert Woods,22-241,2014-12-07,NFL,BUF,@,DEN,L 17-24,13,14,Sun,0,0,,0,0,0,,,,0,0,,0,4,3,36,12.00,0,,,,,,,,,0,3,0,36,36,0
3198,Robert Woods,22-217,2014-11-13,NFL,BUF,@,MIA,L 9-22,10,11,Thu,0,0,,0,0,0,,,,0,0,,0,5,2,15,7.50,0,,,,,,,,,0,3,0,15,26,11
3199,Robert Woods,22-199,2014-10-26,NFL,BUF,@,NYJ,W 43-23,8,8,Sun,0,0,,0,0,0,,,,0,0,,0,3,3,50,16.67,1,,,,,,,,,6,3,0,50,50,0
3200,Robert Woods,22-171,2014-09-28,NFL,BUF,@,HOU,L 17-23,4,4,Sun,0,0,,0,0,0,,,,0,0,,0,12,3,17,5.67,0,,,,,,,,,0,3,0,17,17,0
