
,,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Total Yds,Total Yds,Total Yds,Total Yds,Total Yds
554,Jacquizz Rodgers,24-325,2014-12-28,NFL,ATL,,CAR,L 3-34,16,17,Sun,0,0,,0,0,0,,,,9,44,4.89,0,7,3,19,6.33,0,,,,,,,,,0,12,44,63,63,0
555,Jacquizz Rodgers,24-318,2014-12-21,NFL,ATL,@,NOR,W 30-14,15,16,Sun,0,0,,0,0,0,,,,11,29,2.64,0,2,1,3,3.00,0,,,,,,,,,0,12,29,32,32,0
556,Emmanuel Sanders,27-189,2014-09-21,NFL,DEN,@,SEA,L 20-26,3,3,Sun,0,0,,0,0,0,,,,0,0,,0,15,11,149,13.55,0,,,,,,,,,0,12,0,149,171,22
557,Bishop Sankey,22-076,2014-11-30,NFL,TEN,@,HOU,L 21-45,12,13,Sun,0,0,,0,0,0,,,,10,42,4.20,0,0,0,0,,0,,,,,,,,,0,12,42,42,113,71
558,Darren Sproles,31-183,2014-12-20,NFL,PHI,@,WAS,L 24-27,15,16,Sat,0,0,,0,0,0,,,,4,24,6.00,0,9,6,43,7.17,0,,,,,,,,,0,12,24,67,77,10
559,Zac Stacy,23-151,2014-09-07,NFL,STL,,MIN,L 6-34,1,1,Sun,0,0,,0,0,0,,,,11,43,3.91,0,2,1,8,8.00,0,,,,,,,,,0,12,43,51,51,0
560,James Starks,28-286,2014-12-08,NFL,GNB,,ATL,W 43-37,13,14,Mon,0,0,,0,0,0,,,,10,75,7.50,1,2,2,26,13.00,0,,,,,,,,,6,12,75,101,101,0
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Touch,TotOff,YScm,APYd,RtY
561,Jonathan Stewart,27-170,2014-09-07,NFL,CAR,@,TAM,W 20-14,1,1,Sun,0,0,,0,0,0,,,,9,20,2.22,0,3,3,17,5.67,0,,,,,,,,,0,12,20,37,37,0
562,Ben Tate,26-077,2014-11-06,NFL,CLE,@,CIN,W 24-3,9,10,Thu,0,0,,0,0,0,,,,10,34,3.40,1,2,2,27,13.50,0,,,,,,,,,6,12,34,61,61,0
563,Pierre Thomas,29-291,2014-10-05,NFL,NOR,,TAM,W 37-31,5,5,Sun,0,0,,0,0,0,,,,4,35,8.75,1,10,8,77,9.63,1,,,,,,,,,12,12,35,112,112,0
564,Robert Turbin,25-026,2014-12-28,NFL,SEA,,STL,W 20-6,16,17,Sun,0,0,,0,0,0,,,,11,53,4.82,0,1,1,13,13.00,0,,,,,,,,,0,12,53,66,66,0
565,Shane Vereen,25-217,2014-10-05,NFL,NWE,,CIN,W 43-17,5,5,Sun,0,0,,0,0,0,,,,9,90,10.00,0,3,3,18,6.00,0,,,,,,,,,0,12,90,108,108,0
566,Shane Vereen,25-189,2014-09-07,NFL,NWE,@,MIA,L 20-33,1,1,Sun,0,0,,0,0,0,,,,7,36,5.14,1,8,5,35,7.00,0,,,,,,,,,6,12,36,71,71,0
567,Chris Williams,27-054,2014-11-09,NFL,CHI,@,GNB,L 14-55,9,10,Sun,0,0,,0,0,0,,,,1,-8,-8.00,0,,0,0,,0,,,,,,,,,6,12,-8,-8,293,301
568,Danny Woodhead,29-232,2014-09-14,NFL,SDG,,SEA,W 30-21,2,2,Sun,0,0,,0,0,0,,,,8,32,4.00,0,5,4,28,7.00,0,,,,,,,,,0,12,32,60,60,0
569,Keenan Allen,22-217,2014-11-30,NFL,SDG,@,BAL,W 34-33,12,13,Sun,0,0,,0,0,0,,,,0,0,,0,15,11,121,11.00,2,,,,,,,,,12,11,0,121,121,0
570,Tavon Austin,23-267,2014-12-07,NFL,STL,@,WAS,W 24-0,13,14,Sun,0,0,,0,0,0,,,,5,46,9.20,0,2,2,14,7.00,0,,,,,,,,,6,11,46,60,203,143
571,Tavon Austin,23-176,2014-09-07,NFL,STL,,MIN,L 6-34,1,1,Sun,0,0,,0,0,0,,,,3,5,1.67,0,3,3,34,11.33,0,,,,,,,,,0,11,5,39,63,24
572,Giovani Bernard,23-008,2014-11-30,NFL,CIN,@,TAM,W 14-13,12,13,Sun,0,0,,0,0,0,,,,10,49,4.90,0,1,1,4,4.00,0,,,,,,,,,0,11,49,53,53,0
573,LeGarrette Blount,27-304,2014-10-05,NFL,PIT,@,JAX,W 17-9,5,5,Sun,0,0,,0,0,0,,,,8,29,3.63,0,3,3,17,5.67,0,,,,,,,,,0,11,29,46,46,0
574,LeGarrette Blount,27-332,2014-11-02,NFL,PIT,,BAL,W 43-23,9,9,Sun,0,0,,0,0,0,,,,10,23,2.30,0,0,0,0,,0,,,,,,,,,0,11,23,23,52,29
575,Alfred Blue,23-154,2014-09-28,NFL,HOU,,BUF,W 23-17,4,4,Sun,0,0,,0,0,0,,,,9,9,1.00,0,3,2,16,8.00,0,,,,,,,,,0,11,9,25,25,0
576,Alfred Blue,23-140,2014-09-14,NFL,HOU,@,OAK,W 30-14,2,2,Sun,0,0,,0,0,0,,,,11,40,3.64,0,0,0,0,,0,,,,,,,,,0,11,40,40,40,0
577,Ahmad Bradshaw,28-242,2014-11-16,NFL,IND,,NWE,L 20-42,10,11,Sun,0,0,,0,0,0,,,,7,4,0.57,0,5,4,7,1.75,0,,,,,,,,,0,11,4,11,11,0
578,Ahmad Bradshaw,28-193,2014-09-28,NFL,IND,,TEN,W 41-17,4,4,Sun,0,0,,0,0,0,,,,9,32,3.56,0,2,2,20,10.00,1,,,,,,,,,6,11,32,52,52,0
579,Ahmad Bradshaw,28-186,2014-09-21,NFL,IND,@,JAX,W 44-17,3,3,Sun,0,0,,0,0,0,,,,9,65,7.22,0,3,2,18,9.00,1,,,,,,,,,6,11,65,83,83,0
580,Antonio Brown,26-115,2014-11-02,NFL,PIT,,BAL,W 43-23,9,9,Sun,0,0,,0,0,0,,,,0,0,,0,16,11,144,13.09,1,,,,,,,,,6,11,0,144,144,0
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Touch,TotOff,YScm,APYd,RtY
581,Antonio Brown,26-063,2014-09-11,NFL,PIT,@,BAL,L 6-26,2,2,Thu,0,0,,0,0,0,,,,2,10,5.00,0,12,7,90,12.86,0,,,,,,,,,0,11,10,100,113,13
582,Antonio Brown,26-102,2014-10-20,NFL,PIT,,HOU,W 30-23,7,7,Mon,1,1,100.00,3,1,0,118.7,3.00,23.00,0,0,,0,13,9,90,10.00,0,,,,,,,,,0,11,3,90,111,21
583,Donald Brown,27-261,2014-12-28,NFL,SDG,@,KAN,L 7-19,16,17,Sun,0,0,,0,0,0,,,,10,39,3.90,0,1,1,8,8.00,0,,,,,,,,,0,11,39,47,47,0
584,Jamaal Charles,27-254,2014-09-07,NFL,KAN,,TEN,L 10-26,1,1,Sun,0,0,,0,0,0,,,,7,19,2.71,0,4,4,15,3.75,0,,,,,,,,,0,11,19,34,34,0
585,Michael Crabtree,27-007,2014-09-21,NFL,SFO,@,ARI,L 14-23,3,3,Sun,0,0,,0,0,0,,,,1,4,4.00,0,11,10,80,8.00,1,,,,,,,,,6,11,4,84,84,0
586,Isaiah Crowell,21-277,2014-10-12,NFL,CLE,,PIT,W 31-10,5,6,Sun,0,0,,0,0,0,,,,11,77,7.00,1,0,0,0,,0,,,,,,,,,6,11,77,77,77,0
587,Isaiah Crowell,21-256,2014-09-21,NFL,CLE,,BAL,L 21-23,3,3,Sun,0,0,,0,0,0,,,,11,55,5.00,1,0,0,0,,0,,,,,,,,,6,11,55,55,55,0
588,Benny Cunningham,24-139,2014-11-23,NFL,STL,@,SDG,L 24-27,11,12,Sun,0,0,,0,0,0,,,,4,18,4.50,0,4,2,11,5.50,0,,,,,,,,,0,11,18,29,162,133
589,Benny Cunningham,24-098,2014-10-13,NFL,STL,,SFO,L 17-31,5,6,Mon,0,0,,0,0,0,,,,7,21,3.00,1,2,2,12,6.00,0,,,,,,,,,6,11,21,33,87,54
590,Knile Davis,23-084,2014-12-28,NFL,KAN,,SDG,W 19-7,16,17,Sun,0,0,,0,0,0,,,,9,23,2.56,0,0,0,0,,0,,,,,,,,,0,11,23,23,78,55
591,Knile Davis,23-070,2014-12-14,NFL,KAN,,OAK,W 31-13,14,15,Sun,0,0,,0,0,0,,,,9,11,1.22,1,2,1,70,70.00,1,,,,,,,,,12,11,11,81,110,29
592,Lance Dunbar,24-232,2014-09-14,NFL,DAL,@,TEN,W 26-10,2,2,Sun,0,0,,0,0,0,,,,11,27,2.45,0,0,0,0,,0,,,,,,,,,0,11,27,27,27,0
593,Julian Edelman,28-115,2014-09-14,NFL,NWE,@,MIN,W 30-7,2,2,Sun,0,0,,0,0,0,,,,1,9,9.00,0,7,6,81,13.50,1,,,,,,,,,6,11,9,90,156,66
594,Matt Forte,28-352,2014-11-27,NFL,CHI,@,DET,L 17-34,12,13,Thu,0,0,,0,0,0,,,,5,6,1.20,0,9,6,52,8.67,0,,,,,,,,,0,11,6,58,58,0
595,Pierre Garcon,28-044,2014-09-21,NFL,WAS,@,PHI,L 34-37,3,3,Sun,0,0,,0,0,0,,,,0,0,,0,16,11,138,12.55,1,,,,,,,,,6,11,0,138,138,0
596,Toby Gerhart,27-177,2014-09-21,NFL,JAX,,IND,L 17-44,3,3,Sun,0,0,,0,0,0,,,,9,32,3.56,0,2,2,31,15.50,0,,,,,,,,,0,11,32,63,63,0
597,Toby Gerhart,27-184,2014-09-28,NFL,JAX,@,SDG,L 14-33,4,4,Sun,0,0,,0,0,0,,,,10,32,3.20,1,1,1,8,8.00,0,,,,,,,,,6,11,32,40,40,0
598,Frank Gore,31-197,2014-11-27,NFL,SFO,,SEA,L 3-19,12,13,Thu,0,0,,0,0,0,,,,10,28,2.80,0,2,1,8,8.00,0,,,,,,,,,0,11,28,36,36,0
599,Frank Gore,31-214,2014-12-14,NFL,SFO,@,SEA,L 7-17,14,15,Sun,0,0,,0,0,0,,,,11,29,2.64,1,0,0,0,,0,,,,,,,,,6,11,29,29,29,0
600,A.J. Green,26-129,2014-12-07,NFL,CIN,,PIT,L 21-42,13,14,Sun,0,0,,0,0,0,,,,0,0,,0,15,11,224,20.36,1,,,,,,,,,6,11,0,224,224,0
