
,,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Total Yds,Total Yds,Total Yds,Total Yds,Total Yds
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Touch,TotOff,YScm,APYd,RtY
501,Stepfan Taylor,23-195,2014-12-21,NFL,ARI,,SEA,L 6-35,15,16,Sun,0,0,,0,0,0,,,,11,19,1.73,0,3,2,25,12.50,0,,,,,,,,,0,13,19,44,44,0
502,Pierre Thomas,29-263,2014-09-07,NFL,NOR,@,ATL,L 34-37,1,1,Sun,0,0,,0,0,0,,,,7,31,4.43,0,7,6,58,9.67,0,,,,,,,,,0,13,31,89,89,0
503,Jordan Todman,24-307,2014-12-28,NFL,JAX,@,HOU,L 17-23,16,17,Sun,0,0,,0,0,0,,,,7,52,7.43,0,6,5,46,9.20,1,,,,,,,,,6,13,52,98,131,33
504,Shane Vereen,25-211,2014-09-29,NFL,NWE,@,KAN,L 14-41,4,4,Mon,0,0,,0,0,0,,,,8,26,3.25,0,5,5,41,8.20,0,,,,,,,,,0,13,26,67,67,0
505,Andre Williams,22-067,2014-11-03,NFL,NYG,,IND,L 24-40,8,9,Mon,0,0,,0,0,0,,,,12,22,1.83,1,1,1,24,24.00,0,,,,,,,,,6,13,22,46,46,0
506,Damien Williams,,2014-11-02,NFL,MIA,,SDG,W 37-0,8,9,Sun,0,0,,0,0,0,,,,11,28,2.55,0,2,2,23,11.50,0,,,,,,,,,0,13,28,51,51,0
507,Keenan Allen,22-203,2014-11-16,NFL,SDG,,OAK,W 13-6,10,11,Sun,0,0,,0,0,0,,,,0,0,,0,13,8,63,7.88,0,,,,,,,,,0,12,0,63,107,44
508,Odell Beckham,22-053,2014-12-28,NFL,NYG,,PHI,L 26-34,16,17,Sun,0,0,,0,0,0,,,,0,0,,0,21,12,185,15.42,1,,,,,,,,,6,12,0,185,185,0
509,Odell Beckham,22-018,2014-11-23,NFL,NYG,,DAL,L 28-31,11,12,Sun,0,0,,0,0,0,,,,1,-2,-2.00,0,11,10,146,14.60,2,,,,,,,,,12,12,-2,144,143,-1
510,Joique Bell,28-097,2014-11-09,NFL,DET,,MIA,W 20-16,9,10,Sun,0,0,,0,0,0,,,,10,44,4.40,0,3,2,37,18.50,0,,,,,,,,,0,12,44,81,81,0
511,Martellus Bennett,27-269,2014-12-04,NFL,CHI,,DAL,L 28-41,13,14,Thu,0,0,,0,0,0,,,,0,0,,0,15,12,84,7.00,1,,,,,,,,,6,12,0,84,84,0
512,LeGarrette Blount,27-353,2014-11-23,NFL,NWE,,DET,W 34-9,11,12,Sun,0,0,,0,0,0,,,,12,78,6.50,2,0,0,0,,0,,,,,,,,,12,12,78,78,78,0
513,Antonio Brown,26-157,2014-12-14,NFL,PIT,@,ATL,W 27-20,14,15,Sun,0,0,,0,0,0,,,,0,0,,0,10,10,123,12.30,0,,,,,,,,,0,12,0,123,166,43
514,Antonio Brown,26-150,2014-12-07,NFL,PIT,@,CIN,W 42-21,13,14,Sun,0,0,,0,0,0,,,,0,0,,0,14,9,117,13.00,0,,,,,,,,,0,12,0,117,131,14
515,Antonio Brown,26-073,2014-09-21,NFL,PIT,@,CAR,W 37-19,3,3,Sun,0,0,,0,0,0,,,,0,0,,0,10,10,90,9.00,2,,,,,,,,,12,12,0,90,107,17
516,Reggie Bush,29-280,2014-12-07,NFL,DET,,TAM,W 34-17,13,14,Sun,0,0,,0,0,0,,,,8,26,3.25,0,6,4,8,2.00,0,,,,,,,,,0,12,26,34,34,0
517,Jamaal Charles,27-345,2014-12-07,NFL,KAN,@,ARI,L 14-17,13,14,Sun,0,0,,0,0,0,,,,10,91,9.10,1,4,2,20,10.00,1,,,,,,,,,12,12,91,111,111,0
518,Isaiah Crowell,21-249,2014-09-14,NFL,CLE,,NOR,W 26-24,2,2,Sun,0,0,,0,0,0,,,,11,54,4.91,0,1,1,3,3.00,0,,,,,,,,,0,12,54,57,57,0
519,Isaiah Crowell,21-302,2014-11-06,NFL,CLE,@,CIN,W 24-3,9,10,Thu,0,0,,0,0,0,,,,12,41,3.42,1,0,0,0,,0,,,,,,,,,6,12,41,41,41,0
520,Isaiah Crowell,21-319,2014-11-23,NFL,CLE,@,ATL,W 26-24,11,12,Sun,0,0,,0,0,0,,,,12,88,7.33,2,0,0,0,,0,,,,,,,,,12,12,88,88,88,0
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Touch,TotOff,YScm,APYd,RtY
521,Anthony Dixon,27-050,2014-11-13,NFL,BUF,@,MIA,L 9-22,10,11,Thu,0,0,,0,0,0,,,,10,35,3.50,0,2,2,13,6.50,0,,,,,,,,,0,12,35,48,48,0
522,Julian Edelman,28-122,2014-09-21,NFL,NWE,,OAK,W 16-9,3,3,Sun,0,0,,0,0,0,,,,1,5,5.00,0,13,10,84,8.40,0,,,,,,,,,0,12,5,89,96,7
523,Julian Edelman,28-199,2014-12-07,NFL,NWE,@,SDG,W 23-14,13,14,Sun,0,0,,0,0,0,,,,1,4,4.00,0,12,8,141,17.63,1,,,,,,,,,6,12,4,145,165,20
524,Justin Forsett,28-332,2014-09-11,NFL,BAL,,PIT,W 26-6,2,2,Thu,0,0,,0,0,0,,,,8,56,7.00,0,4,4,16,4.00,0,,,,,,,,,0,12,56,72,72,0
525,Devonta Freeman,22-187,2014-09-18,NFL,ATL,,TAM,W 56-14,3,3,Thu,0,0,,0,0,0,,,,11,12,1.09,0,1,1,7,7.00,0,,,,,,,,,0,12,12,19,19,0
526,Frank Gore,31-207,2014-12-07,NFL,SFO,@,OAK,L 13-24,13,14,Sun,0,0,,0,0,0,,,,12,63,5.25,0,0,0,0,,0,,,,,,,,,0,12,63,63,63,0
527,Jonas Gray,24-128,2014-11-02,NFL,NWE,,DEN,W 43-21,9,9,Sun,0,0,,0,0,0,,,,12,33,2.75,0,1,0,0,,0,,,,,,,,,0,12,33,33,33,0
528,Jonas Gray,24-170,2014-12-14,NFL,NWE,,MIA,W 41-13,14,15,Sun,0,0,,0,0,0,,,,11,62,5.64,0,1,1,7,7.00,0,,,,,,,,,0,12,62,69,69,0
529,A.J. Green,26-115,2014-11-23,NFL,CIN,@,HOU,W 22-13,11,12,Sun,0,0,,0,0,0,,,,0,0,,0,16,12,121,10.08,0,,,,,,,,,0,12,0,121,121,0
530,Percy Harvin,26-193,2014-12-07,NFL,NYJ,@,MIN,L 24-30,13,14,Sun,0,0,,0,0,0,,,,2,3,1.50,0,9,6,124,20.67,1,,,,,,,,,6,12,3,127,236,109
531,Dan Herron,25-261,2014-12-07,NFL,IND,@,CLE,W 25-24,13,14,Sun,0,0,,0,0,0,,,,8,26,3.25,0,7,4,45,11.25,0,,,,,,,,,0,12,26,71,71,0
532,Jeremy Hill,21-357,2014-10-12,NFL,CIN,,CAR,T 37-37,5,6,Sun,0,0,,0,0,0,,,,8,22,2.75,1,4,4,13,3.25,0,,,,,,,,,6,12,22,35,35,0
533,Carlos Hyde,24-023,2014-10-13,NFL,SFO,@,STL,W 31-17,6,6,Mon,0,0,,0,0,0,,,,11,14,1.27,0,1,1,1,1.00,0,,,,,,,,,0,12,14,15,15,0
534,Mark Ingram,24-351,2014-12-07,NFL,NOR,,CAR,L 10-41,13,14,Sun,0,0,,0,0,0,,,,10,43,4.30,0,2,2,13,6.50,0,,,,,,,,,0,12,43,56,56,0
535,Mark Ingram,24-302,2014-10-19,NFL,NOR,@,DET,L 23-24,6,7,Sun,0,0,,0,0,0,,,,10,16,1.60,0,3,2,13,6.50,0,,,,,,,,,0,12,16,29,29,0
536,Steven Jackson,31-145,2014-12-14,NFL,ATL,,PIT,L 20-27,14,15,Sun,0,0,,0,0,0,,,,11,46,4.18,0,1,1,11,11.00,0,,,,,,,,,0,12,46,57,57,0
537,Steven Jackson,31-054,2014-09-14,NFL,ATL,@,CIN,L 10-24,2,2,Sun,0,0,,0,0,0,,,,11,46,4.18,0,1,1,7,7.00,0,,,,,,,,,0,12,46,53,53,0
538,Rashad Jennings,29-193,2014-10-05,NFL,NYG,,ATL,W 30-20,5,5,Sun,0,0,,0,0,0,,,,10,55,5.50,0,2,2,17,8.50,0,,,,,,,,,0,12,55,72,72,0
539,Colin Kaepernick,26-322,2014-09-21,NFL,SFO,@,ARI,L 14-23,3,3,Sun,29,37,78.38,245,1,0,103.3,6.62,7.16,12,54,4.50,0,0,0,0,,0,,,,,,,,,0,12,290,54,54,0
540,Eddie Lacy,24-111,2014-09-21,NFL,GNB,@,DET,L 7-19,3,3,Sun,0,0,,0,0,0,,,,11,36,3.27,0,1,1,9,9.00,0,,,,,,,,,0,12,36,45,45,0
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Touch,TotOff,YScm,APYd,RtY
541,Doug Martin,25-314,2014-11-23,NFL,TAM,@,CHI,L 13-21,11,12,Sun,0,0,,0,0,0,,,,11,27,2.45,0,3,1,4,4.00,0,,,,,,,,,0,12,27,31,31,0
542,Doug Martin,25-286,2014-10-26,NFL,TAM,,MIN,L 13-19,7,8,Sun,0,0,,0,0,0,,,,10,27,2.70,0,2,2,-1,-0.50,0,,,,,,,,,0,12,27,26,26,0
543,Doug Martin,25-272,2014-10-12,NFL,TAM,,BAL,L 17-48,6,6,Sun,0,0,,0,0,0,,,,11,45,4.09,0,2,1,3,3.00,0,,,,,,,,,0,12,45,48,48,0
544,Ryan Mathews,27-220,2014-12-07,NFL,SDG,,NWE,L 14-23,13,14,Sun,0,0,,0,0,0,,,,11,44,4.00,0,1,1,4,4.00,0,,,,,,,,,0,12,44,48,48,0
545,Dexter McCluster,25-097,2014-11-30,NFL,TEN,@,HOU,L 21-45,12,13,Sun,0,0,,0,0,0,,,,9,33,3.67,0,3,2,11,5.50,0,,,,,,,,,0,12,33,44,65,21
546,Dexter McCluster,25-048,2014-10-12,NFL,TEN,,JAX,W 16-14,6,6,Sun,0,0,,0,0,0,,,,2,6,3.00,0,6,6,52,8.67,0,,,,,,,,,0,12,6,58,74,16
547,Jerick McKinnon,22-197,2014-11-16,NFL,MIN,@,CHI,L 13-21,10,11,Sun,0,0,,0,0,0,,,,8,38,4.75,0,7,4,20,5.00,0,,,,,,,,,0,12,38,58,58,0
548,Lamar Miller,23-191,2014-11-02,NFL,MIA,,SDG,W 37-0,8,9,Sun,0,0,,0,0,0,,,,11,49,4.45,1,2,1,8,8.00,0,,,,,,,,,6,12,49,57,57,0
549,Cam Newton,25-210,2014-12-07,NFL,CAR,@,NOR,W 41-10,13,14,Sun,21,33,63.64,226,3,0,114.0,6.85,8.67,12,83,6.92,1,0,0,0,,0,,,,,,,,,6,12,309,83,83,0
550,Cam Newton,25-168,2014-10-26,NFL,CAR,,SEA,L 9-13,8,8,Sun,12,22,54.55,171,0,1,61.0,7.77,5.73,12,24,2.00,0,0,0,0,,0,,,,,,,,,0,12,176,24,22,0
551,Cam Newton,25-224,2014-12-21,NFL,CAR,,CLE,W 17-13,15,16,Sun,18,31,58.06,201,1,1,74.8,6.48,5.68,12,63,5.25,1,0,0,0,,0,,,,,,,,,6,12,258,63,63,0
552,Andre Roberts,26-248,2014-09-14,NFL,WAS,,JAX,W 41-10,2,2,Sun,0,0,,0,0,0,,,,1,19,19.00,0,5,4,57,14.25,0,,,,,,,,,0,12,19,76,135,59
553,Denard Robinson,24-006,2014-09-28,NFL,JAX,@,SDG,L 14-33,4,4,Sun,0,0,,0,0,0,,,,9,25,2.78,0,3,3,7,2.33,0,,,,,,,,,0,12,25,32,32,0
